"さて、１２月の『クリスタルウィンター』まで
６ヶ月を切ったわけだが……","Now then, it's less than six months until the Crystal Winter in December..","Now, until ""Crystal Winter"" in December.
So less than 6 months to go. ......","Now then, it's less than six months until
the Crystal Winter in December..","Now, we have less than six months until
December's 'Crystal Winter'..."
"（夏祭りのリフレッシュ効果は抜群だな。
メンバーの空気もいい感じになっている）","(The refreshing effect of the summer festival is outstanding. The atmosphere among our members has become nice, too)","(The summer festival is a great refresher.
(The members have a nice air about them.)","(The refreshing effect of the summer festival is outstanding.
The atmosphere among our members has become nice, too)",""
"プロデューサーさん……？
どうしましたか……？","Producer...? What's wrong","Producer: ......?
How can I help you ......?","Producer...?
What's wrong",""
"みんな、調子が戻ってよかったと思ってな","I'm glad you guys are back to normal","Well, guys, just be glad you're back on track.","I'm glad you guys are back to normal",""
"よし、『サマードルフィン』に向けて、
もうひと頑張りだ！！","All right, let's do our best for Summer Dolphin!","Okay, for the ""Summer Dolphin"",
One more effort!","All right, let's do our
best for Summer Dolphin!",""
"はいっ、張り切っていきましょう！！","Yes, let's get fired up!!","Yes, let's get going!","Yes, let's get fired up!!",""
"あはっ☆
ミキも、今日は元気いっぱいってカンジ！","Aha☆ Miki's full of energy today, too!","ahaha*
Miki, too, is full of energy today!","Aha☆ Miki's full of
energy today, too!",""
"元気なら、きらりも負けないよぉ～！
はっぴはぴレッスン、は～じめ～っ☆","As long as you're doing well, I won't lose to the glint in your eye! Hapihapirin lessons begin~☆","If you're energetic, Kirari won't lose to you either!
Happi-happi lesson, ha~jime~!","As long as you're doing well, I won't lose to the
glint in your eye! Hapihapirin lessons begin~☆",""
"あの、少し見てもらいたい部分があるんです。
後半なんですけど、なんだかしっくりこなくて","Um, there's something I want you to take a look at. About the second half of it... It feels kinda weird for me right now""","Um, there's a little part I'd like you to look at.
It's the second half, but it just didn't feel right.","Um, there's something I want you to take a look at. About the
second half of it... It feels kinda weird for me right now",""
"ふふ、もちろんだよっ！
ゆっくり合わせてみようね","Haha, of course! Let's try to match it slowly","Hmm, of course!
Let's try to match them slowly.","Haha, of course! Let's
try to match it slowly",""
"（よし、みんな楽しく頑張っているな！
曲の完成度が、飛躍的に高まっていくのを感じる）","(Okay, everyone's having fun! I can feel the song getting more complete.)","(Okay, you guys are having fun and working hard!
(I can feel the perfection of the song growing by leaps and bounds.)","(Okay, everyone's having fun! I can feel
the song getting more complete.)",""
"新曲、
めーっちゃいい感じに仕上がってるよねっ！","The new song's really coming together!","New Music,
It's a very nice finish, isn't it?","The new song's really
coming together!",""
"はい！　今までのレッスンが
ちゃんと活きてるって実感がありますねー！","That's right! I feel like all the lessons up until now are really coming together, huh?","Yes! The lessons I've learned so far.
I feel like I'm really alive!","That's right! I feel like all the lessons up
until now are really coming together, huh?",""
"菜々さんの言う通りなの！　ミキもみんな
歌とダンスは、カンペキに覚えたって思うな","Nana-san's right! And Miki, too. You should think you learned the song and dance perfectly..","Nana is right! Miki and everyone else!
Don't think you've learned to sing and dance perfectly.","Nana-san's right! And Miki, too. You should think
you learned the song and dance perfectly..",""
"あとは、ベストコンディションで
本番に臨むだけだね！","All that's left is to get into the real thing in top condition!","Now all you need to do is to be in the best condition.
I guess we just have to get on with the show!","All that's left is to get into the
real thing in top condition!",""
"ドキドキしますけど、当日が楽しみですね","My heart is racing, but I'm looking forward to the day","I'm very nervous, but I'm looking forward to the day of the event!","My heart is racing, but I'm looking forward to the day",""
"ああ、みんな今日までよく頑張ったな。
きっと本番でも力を出し切れるはずだ","Yeah, everyone worked really hard today. I'm sure they can do it even during the real thing!","Yeah, you all did a great job until today.
I'm sure you'll be able to give it your all in the real thing.","Yeah, everyone worked really hard today. I'm
sure they can do it even during the real thing!",""
"……あの、レッスン中に失礼します。
プロデューサーさん、お電話です","Excuse me for interrupting your lesson. Producer, there's a phone call","...... Um, excuse me for interrupting the lesson.
Producer, there's a phone call for you.","Excuse me for interrupting your
lesson. Producer, there's a phone call",""
"分かりました。
みんな、レッスンを続けていてくれ","Understood. Everyone, please continue with your lesson","I understand.
Keep up the good work guys, keep up the lessons.","Understood. Everyone, please
continue with your lesson",""
"それで、音無さん。
誰からの電話なんですか？","So, Otonashi-san. Who's calling you?","So, Mr. Otonashi.
Who is calling?","So, Otonashi-san.
Who's calling you?",""
"奥空眞弓さんからです。
心白ちゃんのことでお話がしたいって……","It's from Okuzora Mayumi. She wants to talk about Kohaku-chan..","This is from Mayumi Okuzora.
He wants to talk to you about Shinbaku: ......","It's from Okuzora Mayumi. She wants
to talk about Kohaku-chan..",""
"分かりました。すぐに向かいます！","Understood. I'll head there right away!","Okay, I'm on my way!","Understood. I'll head there right away!",""
"お待たせしました。
心白さんの件、と伺いましたが……","Sorry to keep you waiting. I heard it's about Kohaku..","Thank you for your patience.
I heard that you are about Mr. Shinbaku's case: ......","Sorry to keep you waiting.
I heard it's about Kohaku..",""
"はい……３月に、あなたは心白の問題を
解消できる、と仰っていました","Yes... In March, you said that the problem with Kohaku could be solved","Yes ......3 in March, you mind white matter
He said it can be resolved.","Yes... In March, you said that the
problem with Kohaku could be solved",""
"その結果を、月末の『サマードルフィン』を見て、
確認したいと思っております","I'd like to see the results of that at 'Summer Dolphin,' and confirm them with you later on in our month.""","See the result of this in the ""Summer Dolphin"" at the end of the month,
I would like to confirm.","I'd like to see the results of that at 'Summer
Dolphin,' and confirm them with you later on in our month.",""
"（夏までに結果を、と言われていたが、
来てしまったか）","(I was told I'd get results by summer, but it looks like they came.)","(I was told that the results would be ready by summer,
(You're here.)","(I was told I'd get results by summer,
but it looks like they came.)",""
"（心白の問題解決、糸口は見えてきているが……）","(I'm starting to see a lead on how Kohaku can solve his problem, but...)","(Solving the heart white problem, although clues are emerging: ......)","(I'm starting to see a lead on how Kohaku can solve his problem, but...)",""
"……どうされました？
もしかして、なにか問題でも？","...Is something the matter? Is there a problem with that, by any chance","...... How can I help you?
Is there a problem, by any chance?","...Is something the matter? Is there
a problem with that, by any chance",""
"いえ、特に問題はありません","No, there's no problem","No, there is no problem.","No, there's no problem",""
"夏は始まったばかりですが、
なにかお急ぎの理由でも？","Summer has only just begun. Do you have some urgent reason?","Summer has just begun, though,
Is there a reason you're in a hurry?","Summer has only just begun. Do
you have some urgent reason?",""
"良かれ悪しかれ、結論は早い方がいい。
そうは思いませんか？","For better or for worse, the sooner we reach a conclusion. Don't you think so?","For better or worse, the sooner we conclude, the better.
Don't you think so?","For better or for worse, the sooner we
reach a conclusion. Don't you think so?",""
"もう少し待ってください。
俺は、心白の表現を広げたいと思っています","Please wait a little longer. I want to expand Kohaku's expression","Please wait a little longer.
Me, I'm trying to expand the expression of mind white.","Please wait a little longer. I want
to expand Kohaku's expression",""
"それは、どういう意味ですか？","What do you mean by that?","What does that mean?","What do you mean by that?",""
"ルミナスのみんなと触れて、心白は
少しずつ変わってきているように思うんです","After touching everyone in Luminous, I think Kohaku is slowly changing","In touch with everyone at Luminous, Xinbai
I think things are changing a little bit.","After touching everyone in Luminous,
I think Kohaku is slowly changing",""
"なぜそう思うのですか？","What makes you think that?","Why do you think so?","What makes you think that?",""
"ルミナスのメンバーに学ぶことはテクニックだけでは
ありません","Learning from the members of Luminous wasn't just about technique","Learning from Luminous members is not just about technique.
No.","Learning from the members of
Luminous wasn't just about technique",""
"恐らく……。
心白の才能はまだ真価を発揮していません","Most likely... Kohaku's talent has yet to show Makoto its value","Probably .......
Shinbaku's talent has not yet reached its true potential.","Most likely... Kohaku's talent has
yet to show Makoto its value",""
"なるほど、プロデューサーさんは
そう思われるのですね","I see, so that's what Producer thinks","I see, Producer is
So it seems.","I see, so that's what
Producer thinks",""
"ルミナスのメンバーが、俺に気づかせてくれました。
だから……待っていてください","The members of Luminous made me realize something. So... please wait for us","The members of Luminous made me realize that.
So please wait for ......","The members of Luminous made me realize
something. So... please wait for us",""
"新曲のコンセプトは、
夏らしさを感じさせる元気と明るさです","The concept of the new song is cheerfulness and energy that makes it feel like summer","What is the concept of the new song?
It is energetic and bright with a summery feel.","The concept of the new song is cheerfulness
and energy that makes it feel like summer",""
"そして、笑顔がよく似合う楽曲です。
アイドルの魅力の源を表現したいと思っています","And it's a song that suits you well with your smile. I want to express the source of idol charm","And it is a piece of music that is well suited for smiling.
I want to express the source of my idol's charm.","And it's a song that suits you well with your smile.
I want to express the source of idol charm",""
"……そうですか。
分かりました。楽しみにしています","...I see. Understood, I'll be looking forward to it","...... I see.
Okay, I'll look forward to it.","...I see. Understood, I'll
be looking forward to it",""
"本番前ですから、皆様ご自愛ください。
それでは、失礼いたします","It's before the main event, so please take care of yourself. Now if you will excuse me..","Please take care of yourselves before the show.
Now, if you'll excuse me.","It's before the main event, so please take care
of yourself. Now if you will excuse me..",""
"ツー、ツー……","Two, two..","Two, Two ......","Two, two..",""
"（奥空眞弓に対して、
吉と出るか凶と出るか、試されるな）","(Okuzora Mayumi is being tested to see if it's good or bad.)","(Against Mayumi Okukora,
(It will be a test to see if it turns out to be a good thing or a bad thing.)","(Okuzora Mayumi is being tested
to see if it's good or bad.)",""
"（……みんな、俺が戻ってきたのも気づかず、
練習に集中しているようだ）","(Everyone seems to be concentrating on their practice without noticing that I'm back.)","(...... everyone didn't even notice I was back,
(He seems to be concentrating on his practice.)","(Everyone seems to be concentrating on their
practice without noticing that I'm back.)",""
"ワン、ツー、スリー、フォー！
もっと、指先まで合わせていこっ！","One, two. Three... Four! Let's keep going all the way to my fingertips!!","One, two, three, four!
Let's match more, right down to the fingertips!","One, two. Three... Four! Let's keep
going all the way to my fingertips!!",""
"ファイブ、シックス……心白さん、一緒に！","Five, six... Together with Kohaku-san!","Five, Six ...... heart white, together!","Five, six... Together with Kohaku-san!",""
"セブン、エイト……！
決まりましたね！","Seven Eight! It's decided, then","Seven, Eight. ......!
It's settled!","Seven Eight!
It's decided, then",""
"うんうんっ、息ばっちし♪
これなら本番も、ぱーぺきだにぃ☆","Yeah, I'm out of breath♪ Now the real thing is ready☆","Yes, yes, yes, yes, we're breathing perfectly.
This way, I'll be ready for the real thing.","Yeah, I'm out of breath♪
Now the real thing is ready☆",""
"ふふっ。ありがとうございます♪","Hehe. Thank you very much♪","Hmmm...thank you...Â","Hehe. Thank you very much♪",""
"（心白も、みんなと一緒によく頑張っている）","(Kohaku is doing his best with everyone.)","(Mind white is also doing well along with everyone else)","(Kohaku is doing his best with everyone.)",""
"（みんなの笑顔を見て、確信した。
……ここにしか道はない）","(Seeing everyone smile, I'm sure of it. This is the only way out...)","(Seeing the smiles on everyone's faces convinced me.
(...... here's the only way)","(Seeing everyone smile, I'm sure of
it. This is the only way out...)",""
"（そして、答えは全てステージの上だ……。
『サマードルフィン』……あと２日か……）","(And the answers are all on stage... 'Summer Dolphin'. Two more days, huh?)","(And the answers are all on stage. ......
(The Summer Dolphin, ...... two more days or ......)","(And the answers are all on stage...
'Summer Dolphin'. Two more days, huh?)",""
"――本番前――
会場脇","--Before the performance- Beside The venue","--Before the show--
side of a meeting place","--Before the performance-
Beside The venue",""
"（本番直前、
アイドルたちはリラックスしているみたいだ）","(It looks like the idols are all relaxed right before it starts.)","(Just before the show,
(The idols seem to be relaxing.)","(It looks like the idols are all
relaxed right before it starts.)",""
"きらり、昨日の夜、すーっごくいい夢を見たんだぁ☆
みんなで歌って踊ってとっても楽しかったんだにぃ♪","Kirari, I had a really good dream last night☆ It was so much fun to sing and dance with everyone♪","Kirari, I had the most wonderful dream last night!
We had a lot of fun singing and dancing together.","Kirari, I had a really good dream last night☆ It
was so much fun to sing and dance with everyone♪",""
"わぁっ！　その夢、スッゴく素敵です！","Wow! That dream is so wonderful","Wow! That dream is soooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo beautiful!","Wow! That dream is so wonderful",""
"きらりさんの夢、みんなで正夢にしましょうね♪","Let's all dream of Kira-san together♪","Kirari-san's dream, let's all make it a positive dream.","Let's all dream of Kira-san together♪",""
"はい、翼さん！
今日のステージで、現実にしましょう♪","Yes, Miss Tsubasa! Let's make it a reality on stage today♪","Yes, Mr. Tsubasa!
On stage today, let's make it a reality... ♪","Yes, Miss Tsubasa! Let's make
it a reality on stage today♪",""
"あれ……？
ねぇみんな、あそこ……","Huh...? Hey everyone, over there","Is that ......?
Hey guys, over there ......","Huh...? Hey
everyone, over there",""
"…………あ","......Ah","............","......Ah",""
"やぁ、みんな！　調子は良さそうだね","Hey, guys! Looks like you're in good shape","Hey guys! Looks like you're in good shape.","Hey, guys! Looks like you're in good shape",""
"グリュース・ゴット！
みなさん、元気そうでなによりです","Gruece Got! I'm glad to see you all are well","Grüss Gott!
I'm glad to hear that everyone is doing well.","Gruece Got! I'm glad to
see you all are well",""
"……おはよう、ルミナスのみなさん","...Good morning, Luminous","...... Good morning, luminous people!","...Good morning, Luminous",""
"おはようございます。
今日は楽しいステージになるといいですね","Good morning. I hope today's performance will be a fun one!","Good morning.
Hope you have a fun stage today!","Good morning. I hope today's performance
will be a fun one!",""
"はい！　お互い、最高のパフォーマンスを
ファンのみなさんに披露しましょう！","Yes! Let's both put on our best performance possible for the fans","Yes! We both want to give you the best performance.
Let's showcase it to our fans!","Yes! Let's both put on our best performance
possible for the fans",""
"はいっ！　全力で頑張りましょーっ！","Okay! Let's give it our all!!","Let's give it our all!","Okay! Let's give it our all!!",""
"……そろそろ時間ね。
玲音さん、詩花さん、行きましょう","...It's almost time. Leon, Shika... Let us go!","...... It's about time.
Leon, Shika, let's go.","...It's almost time.
Leon, Shika... Let us go!",""
"心白……前にも言った通り、
あたしたちのステージ、しっかり見てなさいよ","Kohaku... Like I said before, watch our performance carefully","As I said before mind white ......,
Watch us on stage!","Kohaku... Like I said before, watch
our performance carefully",""
"うん……。
分かった、亜夜ちゃん……","Okay... Got it, Aya-chan","Yeah. .......
Okay, Aya, ......","Okay... Got
it, Aya-chan",""
"よし、俺たちも楽屋に向かうとするか","All right, let's head backstage too","Okay, we'll head backstage too.","All right, let's head backstage too",""
"――本番前、舞台裏――","—Before the main event, backstage—","--Before the show, backstage--","—Before the main event, backstage—",""
"いよいよ本番だな……","It's finally time for the main event..","It's time to get down to business: ......","It's finally time for the main event..",""
"んっふっふ～。兄ちゃん、今ってまさに
タワシの前の静けさってやつだよね！","Heheh~ You're so quiet right now!","My brother, now is exactly the time.
It's called the calm before the tawashi!","Heheh~ You're so
quiet right now!",""
"これからゴシゴシ洗われちゃうってことだよね！
……あれ？　なんか違う？","You're going to be scrubbed from now on! ...Huh? Is that not what I think it is","It means I'm going to get scrubbed from now on!
...... What? Something different?","You're going to be scrubbed from now on!
...Huh? Is that not what I think it is",""
"プロデューサー、
ミキたち、めいっぱい楽しんでくるね♪","Producer, Miki and the others are going to have lots of fun! ♪","Producer,
Miki and the kids are going to have a lot of fun.","Producer, Miki and the others
are going to have lots of fun! ♪",""
"そうそう！　サイコーに熱いステージに
してみせるから、しっかりと見ててね★","That's right! I want to make this the hottest show ever, so watch closely. ★","Yes, yes, yes! The hottest stage ever!
I'm going to do it, so watch closely.","That's right! I want to make this the
hottest show ever, so watch closely. ★",""
"……ああ、みんな楽しんでこい！","...Yeah, everyone go have fun!","...... Yeah, go have fun guys!","...Yeah, everyone go have fun!",""
"みんな、よくやったぞ！
今持っている力を、最大限に出せていたと思う！","Well done, everyone! I think you were able to unleash the full extent of your power right now","Well done, guys, well done!
I think we were able to maximize the power we have now!","Well done, everyone! I think you were able to unleash
the full extent of your power right now",""
"プロデューサー……！
私たち……やりました……っ！","Producer...! We've done it","Produced by ......!
We did ...... ......!","Producer...!
We've done it",""
"ハニー、どうだった？
ミキたち、すっごく輝いてたよね？　あはっ☆","How'd it go, honey? Miki and the others were really shining. Aha☆","Honey, how did it go?
Miki and the others were so bright, weren't they?","How'd it go, honey? Miki and the
others were really shining. Aha☆",""
"うっうー！
お客さんも、すっごく喜んでくれましたー！","Ugh! The customers were really happy, too","Uh-oh!
The customers were very happy!","Ugh! The customers were
really happy, too",""
"亜美たちなら、よゆーっしょ！
ね、真美","Ami and the others can do it! Right, Mami?","Ami and her friends are good!
Hey, Mami.","Ami and the others
can do it! Right, Mami?",""
"そうだね、亜美！　会場がドッカーンってカンジで、
チョーヤバい盛り上がりだったね！","That's right, Ami! It was like a big bang in the venue. We were having so much fun!)","Yes, Ami! The venue was like a bang,
It was a crazy party!","That's right, Ami! It was like a big bang
in the venue. We were having so much fun!)",""
"サイコーだった！　アタシたちもファンのみんなも、
ガンガン盛り上がったでしょ？","That was great! We all had a blast, didn't we?","It was great!
You got a lot of gunfire, didn't you?","That was great! We all
had a blast, didn't we?",""
"わたし、と～っても楽しかったでーす♪
また、こんなライブやりたいなー","It was sooo much fun for me~♪ I wanna do another concert like this-","I had a great time!
I would love to do a live show like this again!","It was sooo much fun for me~♪ I wanna
do another concert like this-",""
"はい！　またみんなでやりましょうっ！","Yes! Let's all do it together again sometime","Yes! Let's do it again together!","Yes! Let's all do it together again sometime",""
"うっきゃー♪　夢で見たよりもすごかったにぃ！
それに、みーんな、とってもキラキラしてたゆ！","Ukya-♪ It was even more amazing than I saw in my dream! And all over the place, it's really sparkling","It was even more amazing than I had dreamed!
And everyone was so sparkling!","Ukya-♪ It was even more amazing than I saw in my
dream! And all over the place, it's really sparkling",""
"みんなの楽しいって気持ちが、
会場中に響き渡っていたみたいでした！","It was like everyone's feelings of joy were spreading throughout the venue!","Everyone's feeling of fun,
It seemed to echo throughout the hall!","It was like everyone's feelings of joy
were spreading throughout the venue!",""
"はい！　すごく楽しくて、
素敵なライブでした！","Yes! It was a wonderful concert, and I had so much fun","Yes! It was a lot of fun,
It was a wonderful concert!","Yes! It was a wonderful concert,
and I had so much fun",""
"ああ！　みんなの楽しいって気持ちと、
会場の熱気がここまで伝わってきたぞ！","Ahh! I can feel everyone's fun and the enthusiasm of this venue from here on out","Oh! With everyone's feeling of fun,
You could feel the excitement of the venue up here!","Ahh! I can feel everyone's fun and the
enthusiasm of this venue from here on out",""
"（心白……今、いい笑顔をしているな……。
奥空さんは、このステージをどう思っただろうか）","(Kohaku... You have a nice smile on your face right now. What did you think of this stage, I wonder?)","(Mind white ...... now you have a nice smile .......
(I wonder what Mr. Okumora would have thought of this stage)","(Kohaku... You have a nice smile on your face right
now. What did you think of this stage, I wonder?)",""
"（気になるけど、まだ『サマードルフィン』は
開催中だ。気は抜けない、なにしろ……）","(I'm curious, but the Summer Dolphin is still in session. I have to be careful...)","(I'm curious, but I've yet to see ""Summer Dolphin"".
(It's being held now, so don't get distracted, in any case: ......)","(I'm curious, but the Summer Dolphin is
still in session. I have to be careful...)",""
"（この後は、ディアマントの初ライブ……。
いったい、どんなステージを見せるんだ？）","(After this, Diamant's first concert... What kind of stage is it going to be?)","(After this, the first live performance of Diamant will be held at .......
(What the hell kind of stage are you going to show us?)","(After this, Diamant's first concert...
What kind of stage is it going to be?)",""
"みんな、待たせたわね。
……今日がディアマントの初ライブになるわ","Sorry to keep you all waiting. ...today will be Diamant's first concert","Hey guys, sorry to keep you waiting.
...... today will be Diamant's first show.","Sorry to keep you all waiting.
...today will be Diamant's first concert",""
"うん、亜夜ちゃん。
今日まで、みんなで頑張ってきたよね","Yeah, Aya-chan. We've all been working hard until today","Yeah, Aya.
We've all worked so hard to get to this day.","Yeah, Aya-chan. We've all
been working hard until today",""
"夜遅くまで練習したいって
言い出すのは、いつも亜夜ちゃんで……","Aya was always the one who said she wanted to practice until late at night..","They want to practice late at night.
It's always Aya who comes up with the idea: ......","Aya was always the one who said she wanted
to practice until late at night..",""
"レッスン中のおやつは、
詩花さんの好きなシュトゥルーデルが定番でしたね","As for snacks during lessons, your favorite strudel was Strudel","Snacks during the lesson are,
Shika's favorite strudel was a classic.","As for snacks during lessons, your
favorite strudel was Strudel",""
"あれはおいしかったな。
甘さで、疲れがスーッと取れる気がしたよ","That was delicious. It's sweet, so I feel like my fatigue will go away in no time at all!","That was delicious.
The sweetness made me feel like I was soooooooooooooooooooooooooooooooooooooooooooooooo tired!","That was delicious. It's sweet, so I feel like
my fatigue will go away in no time at all!",""
"おかげで、レッスンの思い出と、
シュトゥルーデルの思い出がセットになりました♪","Thanks to that, my memories of the lesson and Strudel's came together♪","Thanks, with memories of lessons,
♪ Memories of strudel are set ♪","Thanks to that, my memories of the
lesson and Strudel's came together♪",""
"さて、レッスンとシュトゥルーデルについて、
あと小一時間ぐらいは話せそうだけど……","Now then, I should be able to talk about the lessons and Strudel for another hour or so..","Now, about the lesson and strudel,
I'm sure we could talk for another small hour or so: ......","Now then, I should be able to talk about the
lessons and Strudel for another hour or so..",""
"玲音さん、小一時間って……。
ほら、客席のみなさんも、笑っていますよ","Leon-san, what do you mean by 'just an hour'...? Look. Everyone in the audience is laughing at us too""","Leon, one small hour means .......
Look, everyone in the audience is laughing, too!","Leon-san, what do you mean by 'just an hour'...?
Look. Everyone in the audience is laughing at us too",""
"それに、みんな待ちきれないって顔をしているね。
じゃあ、そろそろ最初の曲にいこうか","Besides, everyone looks like they can't wait any longer. So let us move on to the first song we have in store for you now""","Besides, you all look like you can't wait.
Well, it's time to get to the first song.","Besides, everyone looks like they can't wait any longer. So let
us move on to the first song we have in store for you now",""
"あたしたちの歌が始まったら、
すぐに熱狂に変えてあげるわ！","As soon as our song starts, I'll turn it into a frenzy!","When our song starts,
I'll turn you into a frenzy in no time!","As soon as our song starts,
I'll turn it into a frenzy!",""
"――玲音さん、詩花さん。
準備、いいですか？","Leon, Shika. Are you ready?","--Leon and Shika.
Ready, ready?","Leon, Shika.
Are you ready?",""
"ああ、いつでもいけるよ","Yeah, I'm ready whenever you are","Yeah, I can always go.","Yeah, I'm ready whenever you are",""
"私も大丈夫。
いつでもいいよ","I'll be fine, too. Any time you want to go out with me is always a good idea""","I'm okay too.
Anytime.","I'll be fine, too. Any time you want to
go out with me is always a good idea",""
"じゃあ、いきましょう。
今から歌うのが、あたしたちの……","Let's go, then. The song we are about to sing is our..","Well, let's go.
Now we are going to sing our ......","Let's go, then. The song we
are about to sing is our..",""
"『オーバーマスター』よ。
みんな、ノッてちょうだいっ！","'Overmaster'. Everyone, get into it!","It's ""Overmaster.""
Come on, everyone, let's get into the groove!","'Overmaster'.
Everyone, get into it!",""
"（みんな、ディアマントのステージに
見入っている……無理もないか）","(Everyone is staring at the Diamant stage... I can't blame them.)","(Everyone on the Diamant stage.
(I'm looking at ...... no wonder)","(Everyone is staring at the
Diamant stage... I can't blame them.)",""
"ディアマント……。
圧倒的なパフォーマンスだ","Diamant... It's an overwhelming performance","Diamant. .......
Overwhelming performance.","Diamant... It's an
overwhelming performance",""
"はい……歌も踊りも、
とてもレベルが高くて、隙がない感じですね……","Yes... Both the singing and dancing are very high-level, so it feels like there's no opening","Yes ...... singing and dancing,
It looks very Level and seamless. ......","Yes... Both the singing and dancing are very
high-level, so it feels like there's no opening",""
"それに、結成したてのユニットとは思えないほど、
安定したＭＣでした……","Besides, he was such a stable MC that it's hard to believe they were just formed..","And it's hard to believe that this is a newly formed unit,
He was a steady MC. ......","Besides, he was such a stable MC that
it's hard to believe they were just formed..",""
"ひとりずつの実力がすごいっていうのは、
知ってたけどさ……","I knew that each person's abilities were amazing, but..","The fact that each one of us is capable of doing so is amazing,
I knew that. ......","I knew that each person's
abilities were amazing, but..",""
"ユニットとしての完成度も高い。
いったい、どれだけレッスンしてきたのかしら……","It's perfect as a unit, too. I wonder how many lessons it took..","It is also highly complete as a unit.
I wonder how many lessons I've learned. ......","It's perfect as a unit, too. I wonder
how many lessons it took..",""
"……すごい……","...Amazing..","...... awesome ......","...Amazing..",""
"うあうあ～！
まさか、レオレオたちがこんなにすごいなんて！","Whoa! I didn't think Leo and the others would be this amazing","Aaahhh~!
I had no idea that Leo Leo and his team were so amazing!","Whoa! I didn't think Leo and the
others would be this amazing",""
"真美、見てて鳥肌立っちゃったよ！
もうブワワーって！","Mami, I got goosebumps just looking at you! You're such a buzzer","Mami, I got goosebumps watching you!
It's already bwah-wah!","Mami, I got goosebumps just looking
at you! You're such a buzzer",""
"わたしたち、あんなに頑張ったのに……。
なんか……負けちゃった気分……","We worked so hard... I feel like we've lost","We worked so hard. ......
I feel like I'm losing ...... ......","We worked so hard... I
feel like we've lost",""
"そ、そんなことないよ、翼ちゃん。
ルミナスのライブも、負けてないって思うよ！","Th-That's not true at all, Tsubasa. I think Luminous is doing just as well!","That's not true, Tsubasa.
I don't think Luminous' live show is as good as it sounds!","Th-That's not true at all, Tsubasa. I
think Luminous is doing just as well!",""
"あれ、心白どうしたの？","Huh? What's wrong, Kohaku?","Hey, what's up with Shinbaku?","Huh? What's wrong, Kohaku?",""
"え……、わ、私ですか？","Huh... M-Me?","Eh ......, wow, is it me?","Huh... M-Me?",""
"心白ちゃん、なんだか複雑な表情をしているよ。
うまく言えないんだけど……","Kohaku, you have a complicated expression on your face. I can't quite put it into words..","Shinbaku, you have a somewhat complicated expression on your face.
I don't know how to say this well: ......","Kohaku, you have a complicated expression on
your face. I can't quite put it into words..",""
"負けた時の悔しさ……それと、悲しみ。
それらが混じった表情を浮かべているかと","Feeling frustrated when you lose... and saddened. I thought it was a mixture of those emotions that made your expression clear to me, too""","The frustration of losing ...... and sadness.
I thought you might have a mixed expression on your face.","Feeling frustrated when you lose... and saddened. I thought it was a
mixture of those emotions that made your expression clear to me, too",""
"悔しさ……悲しみ……","Frustration... Sorrow","Regret ...... Sadness ......","Frustration... Sorrow",""
"あの……みなさんは……どっちなんでしょうか？","Um... I wonder which one of you is it?","That ...... which one are you guys ......?","Um... I wonder which one of you is it?",""
"実際に競いあったわけじゃないけどさ","It's not like we actually competed","Not that we were actually competing.","It's not like we actually competed",""
"あれだけの実力差を見せつけられちゃうと……。
正直、悔しい！","Seeing the difference in our abilities... Honestly, it's frustrating!","If you can show that much of a difference in ability, you can go to .......
Frankly, it's frustrating!","Seeing the difference in our
abilities... Honestly, it's frustrating!",""
"私も、美嘉さんと一緒です。
なんか、悔しいーって感じです……","I'm with you too, Mika-san. It feels kind of frustrating..","I am with you, Mika.
It's kind of frustrating. ......","I'm with you too, Mika-san.
It feels kind of frustrating..",""
"私は……悲しいです。
力を出し切ったのに、届かないなんて……","I'm...sad. Even though you were able to use your full power, it didn't reach me?","I am ...... sad.
I can't believe I gave it my all and didn't get it. ......","I'm...sad. Even though you were able to
use your full power, it didn't reach me?",""
"そうだね……。あんなすごいステージを見ちゃうと、
まだまだダメダメなんだって思っちゃって……","You're right... After seeing such an amazing performance, I thought it was still hopeless","Yes, .........after seeing such an amazing stage,
I'm still thinking that I'm not good enough. ......","You're right... After seeing such an amazing
performance, I thought it was still hopeless",""
"ありがとう……ございます","Thank you... very much","Thank you very much ......","Thank you... very much",""
"（ユニットとして統一された強い意志、見事な連携。
さすがとしか言いようがないが……）","(Splendid coordination and strong will, unified as a unit. I can only say that it's impressive...)","(Strong will unified as a unit, excellent coordination.
(As expected, but ......)","(Splendid coordination and strong will, unified
as a unit. I can only say that it's impressive...)",""
"ディアマントのことは、来月落ち着いたところで
みんなで話すことにしよう","We'll all talk about Diamant once things have calmed down next month","Diamant will be settled next month.
Let's all talk about it together.","We'll all talk about Diamant once
things have calmed down next month",""
"心白、まだモヤモヤしてる感じなの？","Kohaku, do you still feel gloomy?","Xinbai, are you still feeling bewildered?","Kohaku, do you still feel gloomy?",""
"あ……っ！　ご、ごめんなさい！
考えすぎて、ボーッとしていました……","Ah...! I-I'm sorry!! You were overthinking it, and you spaced out","Oh ......! I'm sorry!
I was thinking too much and was in a daze: ......","Ah...! I-I'm sorry!! You were
overthinking it, and you spaced out",""
"今は深く考えない方がいいわ","You shouldn't think too hard about it right now","I wouldn't think too much about it right now.","You shouldn't think too hard about it right now",""
