"（今日は春香の提案で、
映画を見に行くことになった……）","","(Haruka's suggestion today,
(We're going to the movies: ......)","","(Today was Haruka's suggestion, so they went to go 
see a movie...)",""
"私も、教えていただけると助かります","","I, too, would appreciate it if you could let me know.","","I'd appreciate it if you could teach me how to do that, too. It would be a great help for us all",""
"うん！　自分にまかせておけば、なんくるないさー！","","Yeah! If you leave it to yourself, there's nothing to worry about!","","Yeah! Just leave it to me, and I'll be fine.",""
"我那覇部長……
卓球レッスン……お願いします……","","Director Ganaha ......
Table tennis lessons ...... please ......","","Director Ganaha...
Table tennis lessons, please...",""
"（響の指導のもと、卓球を楽しむ３人。
充実したオフを過ごしたようでなによりだ！）","","(The three enjoy playing ping-pong under Hibiki's guidance.
Glad to see you had a good time off!)","","(The three of us enjoyed table tennis under Hibiki's guidance.
I'm glad to see you had a fulfilling day off!)",""
"（今日は翼の提案で、
ハンバーガーを食べに行くことになった……）","","(Today, at the suggestion of Wings,
(We're going out for burgers: ......)","","(At Tsubasa's suggestion, we decided to go eat hamburger today...)","(At Tsubasa's suggestion, we
decided to go eat hamburger today...)"
"みんなでハンバーガーを食べるのって
楽しいですよね♪　どれにしよっかな～？","","Eating hamburgers with everyone?
It's fun...which one should I choose?","","It's so much fun to eat a hamburger with everyone! ♪ Which one should I choose?","It's so much fun to eat a hamburger with
everyone! ♪ Which one should I choose?"
"ミキ的には、ライスバーガーがいいって思うな☆
これって、ちょっとおにぎりみたいだよね？","","Don't think rice burgers are good, Miki.
These look a bit like rice balls, don't they?","","Miki thinks rice burgers are good.☆
This looks a bit like an onigiri, doesn't it?",""
"『高級ビーフ１００％』を使ったハンバーガーね。
セレブな伊織ちゃんにピッタリじゃない！","","The hamburger is made with ""100% premium beef.
It's not perfect for the celebrity Iori!","","『High-grade beef 100%』 hamburgers.
It's perfect for a celebrity like Iori-chan!",""
"私、この『ベジタブルバーガー』にします！
野菜いっぱいで、栄養バランスもバッチリですっ！","","I'll have this ""Vegetable Burger""!
It is full of vegetables and has a perfect nutritional balance!","","I'll take 『Veggietable burger』!
It's full of vegetables, and it has perfect nutritional balance!",""
"杏は『北海道濃厚チーズバーガー』にしようかな。
故郷のことを考えるなんて、我ながら感心だよねー","","I think I'll have the ""Hokkaido Thick Cheeseburger"" for apricot.
I'm impressed with myself for thinking about my hometown!","","Anzu, let's go with 『Hokkaido cheeseburger』.
I'm impressed that you think about your hometown-",""
"ヒーローのおもちゃが付いてるセット……！
全３種類……迷っちゃいます……！","","Set with hero toys. ......!
There are three types in all. ......I'm so confused. ......","","A set with a toy for heroes...!
There are three different kinds... I'm not sure what to choose!",""
"みんなでハンバーガーを食べるのって
楽しいですよね♪　どれにしようかな～？","","Eating hamburgers with everyone?
It's fun...which one should I choose?","","It's so much fun to eat hamburger with everyone! ♪ Which one should I choose?","It's so much fun to eat hamburger with
everyone! ♪ Which one should I choose?"
"ん～……どうしよう……","","Hmmm... ...... what to do ......","","Hmm... What should I do?",""
"果穂、ずいぶん悩んでるみたいだけどどうしたの？","","Kaho, you seem to be in a lot of trouble.","","What's the matter, Kaho? You seem to be having a hard time deciding.",""
"伊織さん……。
その、セットのおもちゃでなやんでて……","","Iori. .......
Well, you know, nay, with a set of toys: ......","","Iori-san...
Um, it's just a set of toys...",""
"おもちゃ？　ああ、なるほど……これね。
ヒーローセット……全３種","","A toy? Oh, I see. ...... this.
Hero set ...... all 3 types","","A toy? Oh, I see... This.
Hero Set... Three types in total.",""
"それなら、わたしも同じセットにしよう～っと。
それで、果穂ちゃんにおもちゃをあげるね♪","","If that's the case, I'm going to get the same set too.
So, I'll give you a toy, Kaho.","","In that case, I'll go with the same set.
So, I'll give you a toy.♪",""
"翼さん……！　いいんですか……！？","","Mr. Wings ......! Are you sure ......!","","Tsubasa...! Are you sure?",""
"へぇ、翼も同じことを考えていたのね。
私もおもちゃはいらないから、果穂にあげるわ","","Heh, I guess Wings was thinking the same thing.
I don't want the toy either, so I'll give it to Kaho.","","Wow, so the wings were thinking along those lines too.
I don't want any toys either, so you can have them.",""
"伊織さんも……！
翼さん、伊織さん、ありがとうございますっ！！","","Iori is also available at ......!
Thank you, Tsubasa and Iori!","","Iori-san too...!
Tsubasa-san, Iori! Thank you so much!!",""
"気にしなくていいよ～。それよりふたりとも、
この超山盛りポテト、３人でシェアしましょうよ♪","","Don't worry about it,
Let's share this super mountain of fries between the three of us...","","Don't worry about it. Anyway, you two should share this super-large helping of potatoes with the other three people here too ♪","Don't worry about it. Anyway, you two should share this super-large
helping of potatoes with the other three people here too ♪"
"……翼、これ３人で食べきれるの？
そりゃ、ちょっとくらいは興味あるけど……","","...... wing, can the three of us eat this?
That's at least a little bit of interest. ......","","...Wings, can the three of us eat all this?
Well, I'm a little interested...",""
"３人で協力すればきっと大丈夫です！
ポテトもたのみましょうっ！","","If the three of us work together, I am sure we will be fine!
Let's have fries, too!","","If the three of us work together, I'm sure it will be fine!
Let's order some potatoes!",""
"（山盛りのポテトを食べながら、談笑する３人。
充実したオフを過ごしたようでなによりだ！）","","(The three of us chatting and laughing over a pile of fries.
Glad to see you had a good time off!)","","(The three of us chatted as we ate the mountain's worth.
I'm glad to see you had a fulfilling day off!)",""
"（今日は紬の提案で、
近くを散策することになった……）","","(Today, at the suggestion of Tsumugi,
(We're going to take a walk nearby: ......)","","(At Tsumugi's suggestion, we decide to take a walk around the neighborhood...)","(At Tsumugi's suggestion, we decide to
take a walk around the neighborhood...)"
"事務所の近くにも、いろいろものがあるのですね。
毎日が忙しく、気が回りませんでした……","","You have a lot of things near your office.
My days have been so busy that I haven't gotten around to it. ......","","There's a lot of stuff near the office, too.
Every day was so busy, I couldn't pay attention...",""
"紬さん、見てください！　坂の横にある花壇、
丁寧に整えられていて、すごくきれいですよ","","Look at this flower bed next to the hill, Tsumugi!
It's so beautiful, so carefully arranged.","","Tsumugi-san, look! The flower bed by the slope is beautifully arranged.","Tsumugi-san, look! The flower bed by
the slope is beautifully arranged."
"そうだね、紬ちゃん。
よし！　もっといっぱい色んな所を見に行こう！","","That's right, Tsumugi.
Okay! Let's go see a lot more places!","","Right, Tsumugi-chan?
All right! Let's go see more places, shall we?",""
"子猫が１匹、子猫が２匹……。うあうあー！
これじゃ猫を数えてるうちに日が暮れちゃうよー！","","One kitten and two kittens. ....... Uh-oh!
This is going to make the day go by while I'm counting cats!","","There's a kitten, and two of them... Uwaaah!
At this rate, the sun will set while I'm counting cats!",""
"花が咲き、妖精が舞う幻想郷……。
フフッ、まさに偶像たる我らに相応しき場所ね！","","A fantasy land where flowers bloom and fairies dance. ......
It's a place that is just right for us, idols!","","A fantasy land where flowers bloom and fairies dance...
Hehe, it's a fitting place for an idol like us!",""
"（お花がきれいで、猫さんも可愛くて……
すごくいい場所ですね♪）","","(The flowers are beautiful and the cat is adorable. ......
It's a very nice place... ♪)","","(The flowers are so pretty, and the cat is cute...
It's a really nice place.♪)",""
"あ、見てください！　ネコちゃんがいますー！
ニャーン♪　ネコちゃんも一緒に遊ぼう！","","Oh, look, there is a kitty!
Meow meow... Let's play with kitty too!","","Oh, look! There's a cat over there~
Meow♪ Let's play with the cat!",""
"紬さん、見てください。猫ちゃんがいますよ。
そこにも……あ、あっちにも……","","Look, Tsumugi, there is a kitty.
There's ...... Oh, and there's ......","","Tsumugi-san, look! There's a cat.
There, and... over there too.",""
"ええと、１、２、３……たくさんいますね。
ここは猫が良く集まるところなのでしょうか","","Let's see, there are a lot of 1, 2, 3 .......
Is this a place where cats often gather?","","Um, 1, 2, 3... There's a lot of them.
Is this a place where cats gather often?",""
"ケットシーの住まう妖精郷……
ふむ、ここは現世と異界の狭間であったのか……","","Ketsey's Fairyland ......
Hmm, so this was the space between this world and the other world: ......","","The Fairy Quarter, where the Quettsea lives...
Hmm, so this place is somewhere between the real world and another...",""
"（かわいい猫さんがいっぱい……。
ここは素敵な所ですね！）","","(Lots of cute cats at .......
(This place is lovely!)","","(So many cute cats...
This is a lovely place, isn't it?)",""
"みんな、すごくリラックスしていて、
人懐っこいですね","","Everyone was so relaxed,
They're very friendly.","","Everyone's so relaxed and friendly.","Everyone's so
relaxed and friendly."
"はい。それに花壇もきれいで、
とても心が落ち着きます","","Yes, and the flower beds are beautiful,
Very calming.","","Yes. And the flower bed is so pretty, it's very soothing to watch them all fall into place like this...","Yes. And the flower bed is so pretty, it's very soothing
to watch them all fall into place like this..."
"そうですね～……
のんびりしちゃいますね～……","","Yes - ......
I'll be relaxing... ......","","That's true...
We're going to take it easy...",""
"ふふっ、蘭子さんの本音が出ちゃうくらい、
いいところですね♪","","Hmmm, so much so that Ranko's true feelings come out,
Nice place...Â","","Hehe, it's such a nice place that you can tell how she really feels.♪","Hehe, it's such a nice place that you
can tell how she really feels.♪"
"え、あ、あの……。コホン……どうやら
妖精たちの幻術に惑わされていたようね！","","Uh, uh, uh, ....... cohon ...... apparently.
It seems you have been misled by the illusions of the fairies!","","Huh? U-Umm... Ahem. It seems the fairies' genjutsu has been deceiving you all this time, then!”","Huh? U-Umm... Ahem. It seems the fairies'
genjutsu has been deceiving you all this time, then!"
"ふふっ、
もう少しだけ、ここで休憩していきましょうか","","Phew,
Let's take a break here for a little while longer.","","Heheh, let's take a little more rest here.","Heheh, let's take a little
more rest here."
"（猫と花に囲まれ、のんびりする３人。
充実したオフを過ごしたようでなによりだ！）","","(Three people relaxing surrounded by cats and flowers.
Glad to see you had a good time off!)","","(Surrounded by cats and flowers, the three of us relax.
I'm glad to see you had a fulfilling day off!)",""
"（今日は歌織さんの提案で、高級レストランの
ビュッフェに参加することになった……）","","(Today, at the suggestion of Ms. Utaori, a fine restaurant
(I'll be at the buffet: ......)","","(At Kaori-san's suggestion, we decided to participate in a high class restaurant buffet...)","(At Kaori-san's suggestion, we decided to participate
in a high class restaurant buffet...)"
"みんな、ビュッフェは楽しんでる？
何かあったら、遠慮なく言ってね♪","","Hey guys, are you enjoying the buffet?
If you need anything, don't hesitate to tell me... ♪","","Everyone enjoying the buffet?
If you need anything, don't hesitate to ask.♪",""
"これがあだるとでセレブなぱーちーなんだね……
あ、山盛りのローストビーフだ！　すごいすごーい！","","So this is the celebrity pachyderm in Adaruto: ......
Oh, it's a mountain of roast beef!","","So this is the famous Pachi we're talking about...
Oh, there's a mountain of roast beef! That was amazing!!",""
"うむ……さすがは歌唱の女神の祝宴！
天上の贅の数々……我が魂も歓喜に満ちているわ！","","Ummm ...... indeed a celebration of the Goddess of Singing!
All the luxuries of the heavens...... my soul is also full of rapture!","","That's the Goddess of Song for you!
So many extravagant things in the heavens... My soul is filled with joy!",""
"（歌織さん、すごいです。
こんなに豪華なビュッフェ、初めてです！）","","(Utahori, you are amazing.
(I've never seen such a sumptuous buffet!)","","(You're amazing, Kaori-san.
I've never had a buffet this extravagant before!)",""
"歌織ちゃん、ありがとぉ♪　すんごくきらきらしてて
ふわふわ～で、まるで夢の国みたいだにぃ☆","","Thank you, Kaori... you were so sparkling.
It's so fluffy, it's like a dreamland.","","Thanks, Kaori-chan! ♪ It's so shiny and fluffy. Almost like a dreamland~☆","Thanks, Kaori-chan! ♪ It's so shiny
and fluffy. Almost like a dreamland~☆"
"めっちゃ豪華～！　こんなビュッフェを
知ってるなんて、歌織さん、かっこいいな～","","This buffet is so gorgeous!
It's so cool that you know, Utahori-san!","","Wow, this is amazing! I didn't know you knew about buffets like these.","Wow, this is amazing! I didn't know
you knew about buffets like these."
"こ、これが……セレブなビュッフェ……。
あむ……お、お料理も……すごく、美味しい……！","","This is the ...... celebrity buffet .......
Amu...... Oh, the food is also ...... very, very delicious ......!","","Th-This is... a celebrity buffet.
*munch*... Th-The food is so good, too!",""
"歌織お姉ちゃん……
真美、ついにセレブの仲間入りをしたんだね……","","Sis Utaori: ......
Mami, you've finally joined the celebrity ranks: ......","","Kaori onee-chan...
Mami, you've finally become a celebrity...",""
"んっふっふ～。うちに帰ったら
亜美に超自慢しちゃおっと♪","","When I get home...
I'm going to make Ami super proud.","","Nfu fu~ I'm going to be super proud of Ami when we get home.♪","Nfu fu~ I'm going to be super
proud of Ami when we get home.♪"
"真美ちゃんが気に入ってくれて何よりだわ。
あっちに、チョコレートファウンテンがあるわよ","","I'm glad you like it, Mami.
Over there, there's a chocolate fountain.","","I'm glad you like it, Mami-chan.
There's a chocolate fountain over there.",""
"チョコ食べる♪　よーし！
真美、完全制覇してみせるかんね～♪　突撃～！","","I'm going to eat chocolate...yay!
Mami, I'm going to conquer it completely!","","I'm gonna eat some chocolate!
Mami, I'm going to completely conquer you♪ Charge!",""
"おぉ～、真美ちゃん、
すんごくはりきってるにぃ♪","","Oh, Mami,
I'm so excited...","","Ooh, Mami-chan is really getting into it.♪","Ooh, Mami-chan is really
getting into it.♪"
"きらりちゃんも楽しめてる？","","Are you having fun, Kirari?","","Are you having fun too, kirarichan?",""
"歌織ちゃん、きらりんもとーっても楽すぃ♪
ハピハピだにぃ♪","","Utaori, Kirarin is also very easy...
Happi-happi-ni","","Kaori-chan, you're so easy to read!♪
Happy birthday, bro.♪",""
"連れてきてくれて、
ありがとうございましゅっ♪","","Bring me,
Thank you very much.","","Thank you for bringing me here.♪","Thank you for
bringing me here.♪"
"どういたしまして。
あ、新しいスイーツが置かれたみたい","","You're welcome.
Oh, it looks like new sweets have been placed.","","You're welcome.
Oh, looks like they've got some new sweets.",""
"みんなで一緒に、
いろいろな料理を楽しみましょう♪","","All together,
Enjoy a variety of dishes♪","","Let's all enjoy a variety of dishes together.♪","Let's all enjoy a variety
of dishes together.♪"
"（その後も料理を楽しむ３人。
充実したオフを過ごしたようでなによりだ！）","","(The three of them enjoyed cooking afterwards.
Glad to see you had a good time off!)","","(The three of us continue to enjoy cooking.
I'm glad to see you had a fulfilling day off!)",""
"（今日は甜花の提案で、
アニメショップに行くことになった……）","","(Today, at the suggestion of Beet Hana,
(We're going to an anime store: ......)","","(We're going to the anime shop today at Tenka 's suggestion...)","(We're going to the anime shop today
at Tenka 's suggestion...)"
"デビ太郎の……新作グッズ……
にへへ……楽しみ……","","Debitaro's ...... new goods ......
NIHEHE ...... enjoy ......","","Debitarou's... new merch.
Heheh... I can't wait!",""
"へぇ、デビ太郎ね……なかなか可愛いじゃない！
けど、うさちゃんにはすこーしだけ負けるわね♪","","Heh, Debitaro. ...... is pretty cute!
But you're a little outclassed by the bunnies...","","Wow, that's pretty cute!
But I'll lose to Usa-chan a little.♪",""
"最近はそういうキャラが流行りなのね。
そうだ。うちもマスコットキャラを作って……","","That kind of character is all the rage these days.
Yes, we too have created a mascot character: ......","","That's the kind of character that has been popular lately.
That's right. We should also make a mascot character...",""
"デビちゃんって可愛いよねー！
甜花さん、お揃いのグッズを買いましょうよ～♪","","Debbie is so cute!
Beet Hana, let's buy matching goods~!","","You're so cute, dabi-chan!
Tenka, let's buy matching goods~♪",""
"なんていうか、妙に憎めないキャラだよね。
クッションとかあったら買おうかな……","","What an oddly hateful character.
I'd buy some cushions or something if you have any: ......","","How should I put it? She's a strangely insufferable character.
Maybe I should buy some cushions...",""
"デビちゃんって、すんごく可愛いよね♪
きらりん、デビちゃんの衣装を縫い縫いしよっかな？","","Debbie is soooo cute!
Kirarin, shall I sew and sew Debbie's costume?","","You're so cute, dabi-chan.♪
Kirarin, maybe I should sew Dabi-chan's costume?",""
"ねぇ、甜花ちゃん、デビ太郎のグッズって
他にはどんなものがあるの？","","Hey, Tetsuka, what kind of goods does Debitaro have?
What else is there?","","Hey, Tenka-chan. What else is there to buy for Davidtaro?","Hey, Tenka-chan. What else is
there to buy for Davidtaro?"
"えと、キーホルダーに……ブロマイド……
それから……あ、ゲームも……！","","Let's see, keychain and ...... bromide ......
Then ...... Oh, and the game is also available at ......!","","Um, the keychain... and photomiide.
And... ah, the game too!",""
"お、ゲームかぁ～。
それって、どんな感じのゲーム？","","Oh, games!
What kind of game is that?","","A game, huh?
What kind of game is it?",""
"おうちを作って……住む……
それから、釣りしたり……木を切ったり","","Make a home and live in ...... ......
Then we fish, cut ...... trees, etc.","","I'll make a house... and live there.
And then you go fishing and chopping wood, too. That's it for me",""
"生産系とかスローライフ系の
ゲームなのかしら？","","Production-based or slow-life-based.
I wonder if it's a game?","","Maybe it's a game about production or slow life?","Maybe it's a game about
production or slow life?"
"う、うん……のんびり……まったり……
デビ太郎が……生活……する……","","Umm, yeah ...... relaxing ...... mellow ......
Debitaro lives ...... ......","","Y-Yeah... It's nice and relaxing.
David... Tarou is going to live.",""
"フレンドのおうちも……遊びに行ける……
お土産……たくさん……もらえる……","","You can also visit your friend's home at ...... ......
Souvenirs: ...... lots of ...... to get ......","","I can go to my friend's house...
I'll get... a lot of souvenirs.",""
"甜花ちゃんもプレイしてる？","","Are you playing, too, Beet?","","Do you play too, tenkachan?",""
"うん……甜花の……デビ太郎……
お城に……住んでる……","","Yeah ...... Beet Hana's ...... Debitaro ......
I live ...... in a castle ......","","Yeah... Denka's Debitaro.
They live... in the castle.",""
"お城？　……どういうプレイをすれば
その状態になるのかしら？　興味あるわね……","","The castle? ...... What kind of play do I have to make?
I wonder if it will be in that state? I'm curious: ......","","A castle? ...I wonder what kind of play would make it look like that. I'm curious...","A castle? ...I wonder what kind of play would
make it look like that. I'm curious..."
"せっかくだから、私も始めてみようかしら……。
甜花、もう少し詳しく教えてくれる？","","Since we're at it, I might as well get started. ......
Beet Hana, can you elaborate a bit more?","","Maybe I should get started, too...
Tenka, can you tell me more about it?",""
"杏も～。あ、招待特典とかあるなら、
甜花ちゃんよろしくねー","","Anzu too~ Oh, if there is some kind of invitation benefit,
Nice to meet you, Tetuka!","","You too, Anzu. Oh! If you've got any invitations or anything like that to give me a chance with Tenka-chan please do your best for us~","You too, Anzu. Oh! If you've got any invitations or anything like that
to give me a chance with Tenka-chan please do your best for us~"
"にへへ……秋月さんも……双葉さんも……
一緒に……遊ぼ……","","Nehehe ...... and Akizuki ...... and Futaba ......
Let's ...... play together ......","","Heheh... Akitsuki-san too. And Futaba, you're both here as well!
Let's... play together.",""
"（結局、その後もゲームの話に夢中になる３人。
まぁ、充実したオフを過ごしたようでなによりだ！）","","(In the end, the three of us were still engrossed in talking about games afterward.
Well, I'm glad you had a productive day off!)","","(In the end, all three of us got absorbed in talking about games.
Well, I'm glad to see you had a fulfilling day off!)",""
"（今日は咲耶の提案で、
美術館に行くことになった……）","","(Today, at Sakuya's suggestion,
(We're going to the museum: ......)","","(Sakuya suggested we go to the museum today...)","(Sakuya suggested we go
to the museum today...)"
"由緒ある美術品の数々……。
見ているだけで、作り手の想いが伝わってくるようだ","","Venerable works of art. ......
Just by looking at it, you can feel the creator's thoughts and feelings.","","Many historic works of art...
Just looking at it, I can feel the maker's feelings.",""
"すごく不思議な形をしたツボですね、可愛いかも～。
って、はわっ！？　い、いちおく、えん？","","It's a very strange shaped jar, maybe cute!
What? One, one, ten, yen?","","It's a really strange-looking urn. I think it might be cute!
Wait, hawah?! I-I'll take a bath. Huuunn...",""
"こちらの絵画は……、月を見上げる少女ですか……。
真、風情があって良き作品かと","","This painting is from ...... and is it a girl looking up at the moon? ......
True, I thought it was a good work of art with a tasteful atmosphere.","","This painting... it's of a girl looking up at the moon.
Truth, I thought it was a fine piece of work with an air about him.",""
"見て見て咲耶王子！　この絵めっちゃ面白くない？　
ぎょええ～って感じの顔がすごいよね！","","Look, look, Prince Sakuya! Isn't this picture so interesting?
It's amazing how much you look like a ""geeeeeeeee""!","","Look, look prince sakuya! Isn't this picture really interesting?
Her face looks like she's about to cry!",""
"こうしてみんなと美術館に来ると、
なんだか学校の行事を思い出すわね","","This is how I come to the museum with everyone,
It kind of reminds me of a school event.","","Coming to the museum with everyone like this reminds me of school events.","Coming to the museum with everyone like
this reminds me of school events."
"繊細なタッチで描かれた水彩画……趣きが
ありますね。時間を忘れて見入ってしまいます","","Watercolor painted with a delicate touch ...... quaintness.
I've been looking at it for a while now, and I've lost track of time.","","It's a delicate watercolor painting... There is something to it. I lose track of time, and stare at the scene intently for hours on end!","It's a delicate watercolor painting... There is something to it. I
lose track of time, and stare at the scene intently for hours on end!"
"咲耶の言う通りですね。
労力、想い、そのどれもに敬意を表します","","Sakuya is right.
I admire the effort, the thought, all of it!","","Sakuya's right.
And I respect all of it.",""
"はい。それに、絵画も陶芸品も……
どれもが素晴らしいものばかりです","","Yes, and both paintings and ceramics are available at ......
All of them are excellent!","","Yes. And the paintings and ceramics...
They're all wonderful things.",""
"私たちアイドルの活動にも、
通ずるものがあるように思えます","","And to the activities of our idols,
It seems to me that there is a common thread.","","I think our idol activities have something in common.","I think our idol activities
have something in common."
"なるほど。多くの人に感動を与えるという意味で、
偶像もまた、芸術と言うわけだね","","I see...in the sense of inspiring many people,
So idols are also art.","","I see. So idols are also an art form in the sense that they move many people, huh? I guess you could say it'd be a good idea to do something like this with them as well","I see. So idols are also an art form in the sense that they move many people, huh? I
guess you could say it'd be a good idea to do something like this with them as well"
"まだまだ精進が足りない身ですが、
より一層努力したいと思います","","I am still in the process of devoting myself to it,
I will work harder.","","I still don't have enough training, but it would be nice to put in even more effort.","I still don't have enough training, but it
would be nice to put in even more effort."
"フフ、紬のその心意気があれば、
心配はいらないと思う","","Huh, if only I had that spirit of pongee,
I don't think there's anything to worry about.","","Haha. With Tsumugi's spirit, I think you have nothing to worry about at the moment","Haha. With Tsumugi's spirit, I think you
have nothing to worry about at the moment"
"ええ。紬、咲耶、共にるみなすのため、
自分自身のため、切磋琢磨していきましょう","","Yes, Tsumugi and Sakuya, together for Ruminasu,
For your own sake, let's have friendly competition!","Yes. Tsumugi, Sakuya, let's work hard for the
sake of everyone in Luminous together, and for ourselves","Indeed. Tsumugi, Sakuya... Let's work together to improve ourselves and make sure we can all be friends with each other again sometime in the future","Yes. Tsumugi, Sakuya, let's work hard for the
sake of everyone in Luminous together, and for ourselves"
"ああ……もちろんだとも","","Yeah, ...... of course.","","Yeah, of course I do. You don't have to tell me twice about it now that you know the reason for my sudden change in heart",""
"はい……頑張ります！","","Yes ...... I will do my best!","","Yes... I'll do my best!",""
"（美術品を見て、自分たちのことをより意識する
なんて……いい刺激をもらえたようで何よりだ！）","","(Seeing artwork makes us more aware of our
What a ...... I'm glad you got some good inspiration!)","","(I'm glad you were able to see the art and become more aware of yourself.)","(I'm glad you were able to see the
art and become more aware of yourself.)"
"（今日は果穂の提案で、事務所の近辺を
探検することになった……）","","(Today, at Kaho's suggestion, I went around the vicinity of the office.
(......) to explore.","","(At Kaho's suggestion, we decided to explore the area around her office today...)","(At Kaho's suggestion, we decided to
explore the area around her office today...)"
"みなさん準備はいいですか……！
それじゃあ、ルミナス探検隊、出発です！","","Is everyone ready to go? ......!
Well then, Luminous Expedition, let's get going!","","Are you all ready?!
Alright, Luminous exploration team! Let's go.",""
"あのおうちのガーデニングきれいだな。
あ、あっちに犬……うぅ、近づかないようにしないと","","The gardening at that house is beautiful.
Oh, there's a dog over there ...... ugh, I have to stay away from him.","","The gardening at that house is beautiful.
A-A dog over there... Ugh, I have to stay away from it.",""
"こちらの路地は複雑に入り組んでいるのですね……
古都を思い出します","","The alleys here are complicated. ......
It reminds me of the old capital.","","The alleys here are quite complicated...
It reminds me of the old capital.",""
"あら、あの坂道
猫ちゃんがたくさん集まっているのね♪","","Oh, that slope.
So many kitties in one place... ♪","","Oh, there's a lot of cats gathered on that slope.♪","Oh, there's a lot of cats
gathered on that slope.♪"
"小さな公園がありますね。
花がたくさん咲いていて、きれい……","","You have a small park.
Lots of flowers, beautiful ......","","There's a small park here.
There are so many flowers, and they're beautiful...",""
"ピピッ、ウサミン星から電波を受信！
あの喫茶店の制服、すごく可愛いですよっ！","","Beep, received a radio wave from the planet Usamin!
That coffee shop uniform is very cute!","","Beep beetle, I'm picking up a signal from Planet Usamin!
That cafe's uniform is so cute!",""
"果穂ちゃん、
たくさん歩いたけど、大丈夫？","","Kaho,
I walked a lot, are you okay?","","Kaho, we've walked a lot. Are you okay?","Kaho, we've walked a
lot. Are you okay?"
"ありがとうございます、あずささん！
あたしは全然大丈夫です！","","Thank you, Azusa!
I'm totally fine with it!","","Thank you, Azusa!
I'm totally fine!",""
"それにしても、ずいぶんと事務所から
離れたようですが……","","But still, I've been away from the office for quite a while.
You seem to have moved away from ......","","You seem to have left the office quite a while ago...","You seem to have left the office
quite a while ago..."
"あずさ、果穂……
ここはどのあたりでしょうか？","","Azusa, Kaho ......
Where is this place?","","Azusa, Kaho...
Where is this place?",""
"ちょっと待ってくださいね！
ＧＰＳで確認しますっ！","","Wait a minute!
I'll check with GPS!","","Please wait a moment!
I'll check with GPS!",""
"ええっと……こっちの道をまっすぐ行くと大通り
です！　そこからなら、事務所まですぐもどれます！","","Let's see, ...... straight down this way is the main street.
From there, you can go right back to the office!","","Let's see... Just follow this road to the main street! You can get back from there right away.","Let's see... Just follow this road to the main
street! You can get back from there right away."
"まぁ、果穂ちゃん、すごいわ……。
それに、難しい言葉も知ってるし","","Well, Kaho, that's great. ......
Besides, I know some hard words.","","Wow, Kaho-chan is amazing...
Besides, I know a lot of difficult words.",""
"ＧＰＳですか？　お母さんが教えてくれました！
あと、咲耶さんたちも使い方を教えてくれるんです！","","Is it GPS? Your mother told me!
Also, Sakuya and the others teach me how to use it!","","Is that GPS? Mom told me!
Also, Sakuya-san and the others will teach us how to use it!",""
"文明の利器を用いて、迷った者に道を示す……
果穂は、まるでひーろーのようですね","","Using the tools of civilization to show the way to those who are lost: ......
Kaho is like a hi-roo!","","Using the conveniences of civilization to show a lost person their way...
The fruit is like a hiero.",""
"本当ですか！？
スッゴくうれしいですっ！","","Really!
I am so happy!","","Really?!
I'm so happy!",""
"それじゃ、私が道に迷ってしまったときは、
果穂ちゃんに助けてもらおうかしら？","","Then, if I get lost,
I wonder if I can get Kaho to help me?","","Well then, if I get lost in the process of going back to Kaho for help.","Well then, if I get lost in the process
of going back to Kaho for help."
"任せてください！
……あっ！　スッゴく遠いところ以外で……っ！","","We'll take care of it!
...... Oh! Except for the very far away places, ......!","","Leave it to me!
...Ah! It's somewhere really far away...",""
"（その後も探検を続けた３人。果穂が終始ご機嫌で
何よりだな。これでより結束も深まるだろう！）","","(The three of us continued to explore, with Kaho in a good mood throughout.
(Good for you, this will bring us closer together!)","","(The three of them continue exploring. I'm glad to see that Kaho is in a good mood from start-to finish, and this will strengthen our bonds!)","(The three of them continue exploring. I'm glad to see that Kaho is in
a good mood from start-to finish, and this will strengthen our bonds!)"
"（今日は甘奈の提案で、
プールに遊びに行くことになった……）","","(Today was Amana's suggestion,
(We're going to the pool to play: ......)","","(At Amana's suggestion, we decided to go play at the pool today...)","(At Amana's suggestion, we decided
to go play at the pool today...)"
"ふぅ……準備運動終わりっ！
よーし、今日はたくさん泳ぐよ～☆","","Whew......... Preparation work is done!
Okay, lots of swimming today!","","Phew... I'm done warming up!
All right, I'm going to swim a lot today!☆",""
"うぅ……水着、恥ずかしいよぅ。
ひんそーでちんちくりんだし、似合ってないよね……","","Ugh ...... swimsuit, I'm so embarrassed.
He's short and stocky and it doesn't look good on him. ......","","Uuh... Swimsuits are embarrasing.
It looks like a hunso-chin, so it doesn't look good on me...",""
"水着、ちょっぴり恥ずかしいわね……。
ねぇ、甘奈ちゃん。私、変じゃないかしら？","","Swimsuit, a little embarrassing. ......
Hey, Amana, am I being weird?","","Swimsuits are a little embarrassing...
Hey, Amana-chan. Am I acting weird?",""
"あまなっち、亜美、あっちの波のプールに行きたい！
あ、高飛び込みも超面白そうっ！","","I want to go to the wave pool over there, Ama Nacchi, Ami!
Oh, and the high dive looks super interesting too!","","Amanachi, Ami! I want to go over there and see the pool of waves. Oh yeah? High diving sounds like it'd be super fun too!!","Amanachi, Ami! I want to go over there and see the pool of waves.
Oh yeah? High diving sounds like it'd be super fun too!!"
