"（仕事終わり、未来にルミナスについて
聞いてみることにした……）","","(After work, about luminous in the future)
(I decided to ask: ......)","","(After work, I decided to ask
Luminous about the future...)"
"それが……この間クイズ番組に出て、全部
フィーリングで答えたって言ったじゃないですか","","That's why I went on a quiz show the other day at ...... and got the whole thing.
You said you answered with a feeling.","","Well... Didn't you say on a quiz show the other day
that I answered all of your questions with feelings?"
"でもあれ、本当にフィーリングだったのかな？
って気になり始めたんですよー","","But was that really a feeling?
I'm starting to wonder if it's a good idea!","","But was that really just how she felt?
I'm starting to get curious."
"へえ……どうして未来は、
フィーリングじゃないかもしれないって思ったんだ？","","Heh ...... why the future,
Did you think it might not be a feeling?","","Huh... Why did you think the
future might not be a feeling?"
"それはですね、答えは分からないけど、
なんとなく、見たことある気がしたっていうか……","","That is, I don't know the answer to that,
Somehow, I thought I'd seen it before, or something. ......","","Well, I don't know the answer to that question.
But it just felt like something familiar..."
"似たような問題を解いた気がするな、とか、
この名前をどこかで見た気がするなとか……","","I feel like I've solved similar problems, you know?
I think I've seen this name somewhere or ......","","I feel like I've solved a similar problem, and
that this name looks familiar to me as well..."
"そういう『なんとなく知ってる気がする』が
たくさんあったんです！","","That kind of ""I kind of feel like I know what I'm talking about"".
There were a lot of them!","","There were so
many of them!"
"なるほど……！　フィーリングといっても、
なんとなく知ってる気がした答えだったってことか","","I see. ......! Even though it's called feeling,
You mean it was an answer you somehow felt you knew.","","I see...! So it was just a
feeling, but the answer felt familiar."
"はい！　それってたくさん勉強をしたからかなって
思ったんで、また勉強してるんですけど……","","Yes! I thought it was because I studied a lot.
I thought, so I'm learning again. ......","","Yes! I thought it might be
because you've studied so much, but..."
"やってたら、なんだか色々とキリが
なくなってきちゃって……","","When I was doing it, I was kind of on the edge of a lot of things.
I've lost it. ......","","While I was doing it, a lot of
things started to disappear..."
"キリがなくなった？
どういうことなんだ？","","Have you run out of steam?
What does that mean?","","There's no end to it?
What's the meaning of this?"
"あの、今調べものをしていたんですけど、
すごく不思議なんです！","","Um, I was just doing some research,
It's very strange!","","Um, I was just doing some
research. It's really strange!"
"好きなことを調べれば調べるほど、
どんどん知りたいことが増えていって……","","The more you look into what you like,
I just wanted to know more and more about it. ......","","The more I researched my favorite things,
the greater and bigger it became."
"そしたら知らないこともどんどん増えていくんです！
知らなかったことに、気づくっていうか……","","Then there are more and more things I don't know!
It's like realizing something you didn't know. ......","","And then there'll be even more things I dont know!
It's like I realized something..."
"みんな、こうなんでしょうか？
それとも私の勉強方法がおかしいんでしょうか……？","","Is everyone like this?
Or is there something wrong with the way I study ......?","","Is everyone like this?
Or is there something wrong with the way I study...?"
"勉強すればするほど知らないことが増えていくか……
それは……","","The more you study, the more you don't know or ......","","The more I study, the stranger things become...
That's......"
"勉強している証拠","","Evidence of study","","Proof that you're studying."
"不思議な現象","","strange phenomenon","","Mysterious phenomena"
"静香や翼に
聞いてみよう","","To Shizuka and Tsubasa.
Let's hear it.","","Let's ask
Shizuka and Tsubasa."
"それは、未来が勉強している証拠なんだ。
なにかを知れば、知らなかったなにかに気付くんだよ","","That's proof that the future is studying.
When you know something, you realize something you didn't know.","","That's proof that the future is studying.
If you know something, then it's easy to realize that there are things I never knew."
"知らなかったものに気付く……？　それってつまり、
私が勉強したから気付けたってことですか？","","You notice something you didn't know ......? That means,
Are you saying that you noticed it because I studied it?","","You noticed something you didn't know...? In other words, it was
because I studied so hard that we found out about this place."
"ってことは、私、ちょっとは勉強が進んでるって
ことですね！？　すっごく嬉しいです～♪","","That means I'm making a little progress in my studies.
I'm soooo happy~!","","So that means I've made some progress in my
studies, right?! That makes me really happy~"
"不思議な現象だな……。でも悪いことじゃない。
未来が頑張って勉強しているから……だと思うぞ","","It's a strange phenomenon. ....... But not a bad thing.
I'm pretty sure it's ...... because the future is studying hard.","","What a strange phenomenon... But it's not bad at all.
I think it's because the future is trying its best to study."
"そうなんですか？　ううーん、不思議ですね。でも、
プロデューサーさんが言うなら、そうなのかも……？","","Is that so? Hmmm... strange... but..,
If Producer says so, maybe so. ......?","","Really? Hmm, that's strange.
But if Producer says so..."
"じゃあ私、これからも勉強してみますね","","Well, I, I'll keep studying.","","I'll keep studying, then."
"静香や翼も同じかどうか、聞いてみたらどうだ","","Why don't you ask Shizuka and Tsubasa if they are the same.","","Why don't you ask Shizuka and Tsubasa if they feel the same way?"
"静香ちゃんと翼に？
ふたりなら、なにか分かるのかなー","","To Shizuka and Tsubasa?
I wonder if the two of us can figure something out...","","To Shizuka-chan and Tsubasa?
I wonder if the two of us can figure something out-"
"でも私だけだったら……どうしよう！？
私の勉強方法が変なのかも！？","","But what if it's just me ......!
Maybe my study method is weird!","","But what if it's just me...?!
Maybe my method of studying is weird!?"
"え、いや、そんなことはないと思うぞ！？","","Eh, no, I don't think so!","","Huh? No, I don't think so!"
"そんなに未来が熱中するなんて……
なにについて調べてるんだ？","","I can't believe the future is that hot: ......
What are you researching?","","I didn't know you were so passionate about the future...
What are you looking into?"
"それはもちろん、アイドルです！","","It is, of course, an idol!","","Of course, I'm an idol!"
"アイドルだけじゃなくって、有名な俳優さんや
女優さんの、代表作の映画を見たりしてるんです！","","Not only idols, but also famous actors and
I watch movies of actresses and their best-known works!","","Not just idols, but famous
actors and actresses as well!"
"あとひとりに絞って、その人の下積み時代とか、
主演をやるようになった後とか……","","I'd like to focus on one more person, and his or her early years,
Like after I got to play the lead role: ......","","Maybe we should narrow it down to just one more person, like when they were
still in the lower ranks or after you started acting as a lead actor..."
"いろんなアイドルや有名な人達の生涯とかも、
調べてみたりしてるんですよー！","","And the lives of various idols and famous people,
I'm trying to look into it!","","I've been looking into the lives of various
idols and famous people, too!"
"おもしろい勉強をしているな","","Interesting study.","","You're learning something interesting."
"はい！　それで、ちょっと気付いたことが
あるんです。聞いてくれますか？","","Yes! So, I just realized something.
I have something...will you listen to me?","","Yes! There's something I
noticed. Will you listen?"
"もちろん、聞かせてくれ","","Sure, let me hear it.","","Of course. Let's hear it!"
"多分……プロデューサーさんの言うその先って、
どんなアイドルになるのかってことなのかなって～","","Maybe ...... producer says beyond that,
I was wondering what kind of idol I would become.","","I think Producer's talking about what kind of idol you want to be
after that, so I figured it must mean something along those lines.」"
"トップアイドルになるのが、ゴールじゃなくて、
どんなトップアイドルになりたいのかって……","","Becoming a top idol is not the goal,
What kind of top idol do you want to be? ......","","What kind of top idols
do you want to become?"
"それが、トップアイドルになったその先って
ことなのかな～って、思い始めました！","","And what happens after that when you become a top idol?
I began to wonder if this was the case!","","I'm starting to think that might be what
happens when you become a top idol!"
"未来……","","Future ......","","The future..."
"な、なーんて、間違ってたら恥ずかしいですね！
でも、私が今……考えてることなんです～","","Nah, nah, I'd be embarrassed if I'm wrong!
But it's something I'm thinking about ...... right now~.","","I-I'm just kidding! It would be embarrassing if you were wrong.
But, right now... I'm thinking about something~"
"いや、驚いた。
未来は本当に頑張って勉強していたんだな","","No, I was surprised.
Future must have really worked hard to learn.","","No, I'm surprised.
You really studied hard in the future, huh?"
"ああ、その通りだ。
未来……よく考えたな！","","Yeah, that's right.
Future ...... well thought out!","","Yeah, that's exactly right.
The future... You've thought this through!"
"でへへ♪
プロデューサーさんにほめられちゃいました～♪","","heh heh heh ♪
I got complimented by Producer!","","Heheh~ Producer
praised me! ♪"
"私、もっともっと頑張って、その先……どんな
トップアイドルになりたいのか、見つけますね！","","I'm going to try harder and beyond that ...... any
You want to be a top idol, I will find you!","","I'm going to work even harder and find
out what kind of top idols you want!"
"ふふふ～ん♪
今日はいいこと～たくさんあるな～♪","","Hmmm...
Good things today - lots of them!","","Hehe~♪ There's a lot of good
things happening today, huh?"
"未来、ご機嫌だな。
なにかいいことがあったのか？","","Future, you're in a good mood.
What's the good news?","","You're in a good mood, Mirai.
Did something good happen?"
"あ、プロデューサーさん。はい、ありました！
なんと、小鳥さんからケーキを貰っちゃったんです！","","Ah, Mr. Producer, yes, there it is!
What a surprise, I got a cake from a little bird!","","Oh, Mr. Producer! There it is!!
I got a cake from Kotori-san!"
"ちょっと早く事務所に来たら、
たまたまひとつだけ、残ってたんですよ～","","If you come to the office a little early,
It just so happened that there was one left!","","When I came to the office a little early,
there was just one thing left"
"そしたら小鳥さんが内緒よって言って、ケーキを
くれ……あ、内緒って言われたのに喋っちゃった！","","Then a little birdie said, ""Don't tell anyone.
Give me ...... Oh, I spoke even though you said don't tell me!","","Then Kotori-san said it was a secret and gave me some
cake... Ah, I told her to keep this between us!"
"プロデューサーさん～！
お願いです～、他の子には内緒にしててください～！","","Producer~!
Please - don't tell the other kids!","","Mr. Producer!
Please, don't tell anyone else!"
"わかったわかった。でもそれでか。
口の周りにクリームがついてるぞ","","Okay, okay, but so what?
You've got cream all over your mouth.","","Okay, okay. But that's why...
There's cream around your mouth."
"え！？　は、早く言ってくださいよ～！
あ、ケーキすっごく美味しかったですよ♪","","What? Please say it quickly!
Oh, the cake was so delicious!","","Huh?! H-Hurry up and say it~
Ah, the cake was really delicious♪"
"そんなにケーキが嬉しかったのか。
食べられて、よかったな","","Were you that happy with the cake?
You're lucky you got to eat it.","","Were you really that happy about the cake?
I'm glad you ate it."
"はい！　でもケーキだけじゃないんです！","","Yes! But it's not just about the cake!","","Yes! But it's not just the cake."
"プロデューサーさんにかわいい髪留めを
買ってもらえたし、クイズ番組で優勝できたし……","","Cute hair clip for Producer.
They bought me, and I won a quiz show. ......","","Producer bought me a cute hair
clip, and I won the quiz show..."
"私とプロデューサーさん……こうしているのも、
ちょっと前では、想像できませんでした！","","Me and my producer ...... are also doing this,
Not long ago, I could not have imagined it!","","Producer and I... We couldn't have imagined
doing this just a little while ago!"
"プロデューサーさんは、想像できていましたか？","","Could you imagine Producer?","","Did you imagine it, Mr. DeLite?"
"未来と今こうして一緒に進んでいることか……
そうだな……","","The future and how we are moving forward together like this now. ......","","I'm moving forward with the future like this...
Yeah, you're right"
"想像よりよかった","","Better than I imagined.","","It was better than I thought."
"想像していた通りだ","","Just as I had imagined.","","It's just as I imagined."
"想像もしてなかった","","I never imagined it.","","I didn't even think about it."
"想像はしていたけど、想像よりも今のほうが
ずっといいな。未来が頑張ってくれたからだな","","I had imagined it, but now it's more than I imagined.
Much better, thanks to the future's hard work.","","I imagined it, but the way things are now is much better than
expected. It's because of how hard your future worked for you!"
"でへへ……。そういってくれると
すっごく嬉しいです♪","","Dehehe ....... If you say so.
I'm so happy!","","Heheh... I'm really
happy to hear you say that♪"
"プロデューサーさんの今のひと言だけでも、
私、頑張った甲斐がありましたー♪","","Just one word now from Producer,
It was worth all my hard work!","","Just hearing that from the
producer made all my hard work worth it~♪"
"想像していた通りだ。
未来と一緒だからこその、いい『未来』だな","","Just as I had imagined.
A good 'future' because it's with the future.","","It's just as I imagined.
It's good to be with the future.『Future.』"
"でへへ～♪　プロデューサーさんもいい未来だって
思ってくれてるなら、私、嬉しいです！","","Dehehe~♪ Producers say it's a good future for you too!
If you're thinking that, I, I'm glad!","","Heheh! ♪ I'm happy to hear you think
of it as a good future, too."
"想像もしていなかったけど、悪くないよな","","I never would have imagined it, but it's not bad.","","I never thought it'd be that bad."
"ええ～、それだけなんですかっ？
私にとっては悪くないどころか、いい未来です！","","Oh, really? That's all there is to it?
It's not a bad future for me, but a good one!","","Whaaat? That's all you have to say!
Not only is it not bad for me, but a good future!"
"それでですね、私、思ったんです！
これから先、なにがあるか分かりませんけど……","","So, I thought!
I don't know what the future holds, but ......","","And then, I had a thought!
I don't know what will happen from now on, but..."
"きっと、トップアイドルになった時も、
その先には楽しいことが待っているんだーって！","","Surely, even when you become a top idol,
I knew there were fun things waiting for me beyond that!","","I'm sure that when you become a top
idol, fun things will be waiting ahead!"
"だから私、チャレンジし続けたいです！
頑張ってずっとずっと先にも、進み続けたいです！","","So I, I want to keep challenging myself!
I want to keep going on and on and on and on and on!","","That's why I want to keep trying!
I want to do my best and keep moving forward!"
"きっとまた、知らないことや、分からないことが
増えるけど……進んでるって証拠ですもんね！","","I'm sure there will be things I don't know or don't understand again.
It's increasing, but it's proof that ...... is progressing!","","I'm sure there will be more things we don't know or understand,
but... it proves that they are progressing!"
"分からないことだらけでも、頑張るぞー！","","Even though there are a lot of things I don't understand, I'm going to do my best!","","I'll do my best, even if there are a lot of things that you don't understand!"
"ああ、そうだな。
未来の頑張りが実を結ぶように、俺も頑張るよ","","
I'll do my best to make sure that future hard work pays off.","","Yeah, you're right.
I'll do my best to make your future hard work bear fruit."
"でへへ♪
ありがとうございます、プロデューサーさん！","","heh heh heh ♪
Thank you, producer!","","Heheh! ♪ Thank you so
much, Mr. Producer~"
"あの、分からないことばっかりだって言ったんです
けど、ひとつだけ分かることがあるんです！","","Well, I said I don't know a lot of things.
I do know one thing though!","","Um, I told you that there's
only one thing we can understand!"
"私の未来には、いつもプロデューサーさんが
一緒にいてくれるって……","","In my future, I always have a producer.
He said he'd stay with me: ......","","Producer said he'd
always be with me in my future..."
"これからもよろしくお願いしますね！
プロデューサーさん♪","","I look forward to working with you in the future!","","We'll be counting on you!
Hey, producer!"
"（俺と未来は、今も一緒に仕事を続けている）","","(Me and the future are still working together)","","(Future and I are still working together.)"
"でへへ、嬉しいな～。プロデューサーさんが
私のこと、まだまだ見てくれて♪","","Dehehe, I'm so happy! I'm so happy to hear that Producer
You can still see me... ♪","","Heheh, I'm so happy! Producer
still has a lot to learn about me. ♪"
"そうだな。
俺も未来と仕事を続けられて、嬉しいよ","","
I'm glad I got to keep working with the future too.","","That's right.
I'm happy to continue working with you in the future."
"ずっと続けてもらえるように、私、頑張りますね。
目標に向かって、進めー！　ですから♪","","I will do my best to keep it going for a long time.
Go for the goal, go for the goal!","","I'll do my best so you can keep going.
Keep moving towards your goal-! So♪"
"ああ、俺も頑張るよ","","Yeah, I'll do my best.","","Yeah, I'll do my best too."
"あのですね、プロデューサーさんが
言ってくれたこと、私なりにずっと考えてるんです","","You see, Producer...
I keep thinking about what you said, in my own way.","","You know, I've been thinking a
lot about what Producer said."
"トップアイドルになったその先は
どうしたいのか、どうなりたいのかってこと！","","Beyond becoming a top idol
I mean, what do you want to do, what do you want to be?","","What do you want to be
after becoming a top idol!?"
"でもまだまだ勉強中で、決められないんです。
だから、これからも成長しなきゃって思ってて……","","But I'm still learning and can't decide.
So I thought I'd just keep growing. ......","","But I'm still in the middle of my studies, so there are a lot to decide.
That's why I think we need to grow from now on..."
"それでいいんだ。未来はこれからもたくさんのものに
触れて、考えて、悩んで、成長していくんだと思う","","That's okay, the future holds many more to come.
I think we touch it, think about it, worry about it, and it grows on us.","","That's fine. I think the future will be full of things to
touch, worry about and grow from here on out as well..."
"はい！　……て、あれ？
今、気付いたんですけど、もしかして……","","Yes! ...... and then what?
I just noticed that maybe ......","","Yes! ...Wait, what?
I just noticed, but could it be..."
"プロジェクトルミナスを成功させた
プロデューサーさんって……","","Project Luminous was a success.
What's a producer ......","","Producer who made
Project Luminous a success..."
"トップオブトップ！　キングでキングな
プロデューサーさんなんじゃないですか！？","","Top of the Top! King of the King!
I think you are a producer!","","Top of the top! Isn't he
a king and producer?"
"キングでキング！？　い、いや、そんなたいそうな
ものじゃないと思うんだけど……","","King by king! No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.
I don't think it's a thing. ......","","A king!? N-No, I don't think it
would be that big of a deal..."
"プロデューサーさんって、最初からすごかったけど、
もっとすごいプロデューサーさんになったんですね！","","Producers were amazing from the start, though,
You have become an even more amazing producer!","","Producer was amazing from the
start, but now he's even more incredible!"
"そんなトッププロデューサーさんなら、私の
その先がなにか、分かっちゃうんじゃないですか？","","If you're such a top producer, I'm sure you'll be able to find my
I think you'll know what's ahead, won't you?","","If you're such a top producer, then I think
we can figure out what happens next for me."
"と、トッププロデューサーかどうかは置いといて、
未来のこれからのことは、考えているよ","","And let's put aside whether he is a top producer or not,
I'm thinking about the future of the future.","","A-Anyway, putting aside the matter of being a top producer for now and
all that... I'm thinking about what to do from here on out as well.」"
"わあ！　どんなことですか？
教えてください！","","Wow! What is it about?
Tell us about it!","","Wow! What's that?
Please tell me!"
"まず新しい先生の元でレッスンだ。そして次に
仕事だな。新しいオファーがバンバン来ているぞ！","","First, lessons with a new teacher, and then
That's a job...new offers are coming in fast and furious!","","First, we'll have lessons with the new teacher. Then work!
There are a lot of offers coming in for this job now!!"
"どんどんこなしていく予定だからな！
他にも考えているから、明日から忙しくなるぞ！","","I'm planning to do more and more of them!
I have other things on my mind, so tomorrow I'll be busy!","","I'm going to keep doing it!
I've got other things on my mind, so tomorrow will be a busy day!"
"えぇ～、明日からお仕事にレッスン……
すっごく忙しいじゃないですかー！","","Yeah - lessons at work tomorrow: ......
You are so busy!","","Whaaat? Tomorrow's the start of work and lessons...
You're super busy!"
"でも、それが私のその先に繋がるんですよね。
私、全力で頑張ります！","","But that leads me to that destination.
I, for one, will do my best!","","But that's what connects me to the future.
I'll do my best!"
"そういうことだな、今が頑張り時だぞ","","That's what I'm talking about. Now's the time to get on with it.","","That's right, now is the time to do your best."
"分かりました！　プロデューサーさん、私……
これからの未来に向かって、全力で頑張ります！","","Okay! Producer, I'm ......
We will do our best for the future!","","Understood! Mr. Producer, I...
I'm going to do my best for the future!"
"プロデューサーさんが一緒にいてくれるから、
どんなことだってできる気がするんです！","","Producer will be with me,
I feel like I can do anything!","","I feel like we can do anything
because Producer is with us!"
"私の、これからのその先に何が見えるのか……
すっごく楽しみです！","","My, what do you see beyond that in the future: ......
I'm really looking forward to it!","","I don't know what my future holds...
I'm really looking forward to it!"
"（そう言って笑った未来は、ハッとするほど
輝いてみえた）","","(The future that laughed at that was a hoot.
(It looked radiant.)","","(The future he said that with a smile on his face seemed
to shine so brightly it took me by surprise.)"
"（きっとこれから先に続く『未来』も、
未来の笑顔に負けないくらい輝いているだろう）","","(And the ""future"" that will surely follow in the future,
(I'm sure they'll be as bright as their future smiles)","","(I'm sure 『Future.』 will shine
just as brightly in the future, too.)"
