"お疲れさまで～す、プロデューサーさん♪","","Good work, producers!","","Good work, producer! ♪"
"は～い♪　えへへ、嬉しいな～！
プロデューサーさんとお出かけ、楽しみ～♪","","Ha~yes~ Ehehe, I'm so happy!
I'm looking forward to going out with Producer.","","Okay! ♪ Heheh, I'm so happy for you~
I can't wait to go out with Producer! ♪"
"ぜったい、約束ですからね！","","It's a promise, you know!","","It's a promise!"
"ダメだ！　絶対にダメ！","","No! Absolutely not!","","No! Absolutely not."
"え～、そんな否定しなくてもいいいのに……。
わたしとデートするの……イヤなんですか？","","Eh, you don't have to deny it like that. ......
You don't want to go on a date with me ......?","","Aw, you don't have to deny it...
Do you... not want to go on a date with me?"
"そうじゃない！　ただ、アイドルとプロデューサーが
食事をしたり買い物をしてデートをするなんて……！","","No, it's not! It's just that the idol and Producer
I can't believe that you have a date to eat, shop, and go on a date. ......","","No! It's just that, for an idol and
a producer to eat or go on dates..."
"……プロデューサーさん。
そういうのって、いつもやっていませんか？","","...... Producer.
Don't you do that kind of thing all the time?","","...Producer.
Don't you always do that?"
"……うっ。ま、まあ……。
食事や買い物に出かけるくらいなら……いいか","","...... Ugh. Well, well, .......
If you just want to go out for a meal or shopping, you can go to ......","","Ugh. W-Well...
If it's just going out to eat or buy something, then I guess that works for me."
"それじゃ、全然問題ナシ！　じゃないですか～。
ご褒美はお出かけで決まりですね♪","","Then there is no problem at all!
I'm sure your reward will be an outing...","","Then there's no problem at all!
It's decided that the reward will be going out♪"
"分かった……。約束もしたし、次のフェスは今まで
以上に頑張ろうな！　翼の目標のためにも！","","Okay, ....... I made a promise, and the next festival is now.
Let's work harder than that! For the sake of the winged goal!","","Okay... We made a promise, so let's do our best
for the next festival! For my winged goal as well."
"は～い、分かってますって♪
モテモテハッピーライフのためにも、頑張りまーす！","","Yes, yes, I know.
I will do my best for a irresistibly happy life!","","Okay, I get it♪ Let's do our best for
the sake of a popular and happy life!"
"……でも、プロデューサーさんとお出かけか～。
えへへっ、なにを着ていこうか迷っちゃうな～♪","","...... but you're going out with a producer!
Hehehe, I can't decide what to wear~!","","...But going out with Producer, huh?
Hehe, I'm not sure what to wear~"
"（すでに翼は浮かれ気分だけど……今までより、
レッスンにも力を入れて、頑張っているのも事実だ）","","(Already the wings are in a buoyant mood. ...... than ever,
(And it's true, I've been working hard, putting in a lot of effort in my lessons.)","","(I'm already in a good mood, but... it is true that
I put more effort into my lessons than before.)"
"（今の翼なら、本当にモテモテハッピーライフが
実現できそうな気がしてきたぞ……！）","","(With the current wings, a really irresistible happy life is
(I'm starting to think we can make this happen. ......!)","","(I'm starting to feel like I can live a
really popular, happy life with my wings now...!)"
"（翼が中心となったステージは、観客の熱い声援に
包まれ、大盛況のうちに終了した！）","","(Wings took center stage to the enthusiastic cheers of the audience.
(It was wrapped up and a great success!)","","(The stage with the wings at its center was engulfed in passionate
cheers from spectators, and it ended a great success!)"
"プロデューサーさん！
わたしのステージ、どうでしたか！？","","Producer!
How was my stage?","","Hey, producer!
How did you like my performance!?"
"文句のつけようがない、最高のステージだったぞ！
よく頑張ったな、翼！！","","I can't complain, it was a great stage!
Good job, Wings!","","There's no way I could have complained about that. It was the best performance ever!
You did well, Tsubasa!!"
"ありがとうございま～す！　これでわたしも、
美希先輩たちに近づくことができたかな？","","Thank you very much!
Did I get close to Miki and her seniors?","","Thank you very much ! Now I can get closer
to Miki-senpai and the others too, right?"
"ああ、翼が望んでいる美希たちに近づけたと思う","","Yeah, I think we're getting closer to the Miki's that Tsubasa wants.","","Yeah, I think we've gotten closer to Miki and the others that Tsubasa wants."
"わ～い♪　すっごくハッピーな気分かも♪","","Wow... I might be very happy...","","Yaaay♪ I'm feeling really happy right now."
"いや、それ以上かもしれない。ステージ上の翼は、
他の誰にも真似できない、すごいアイドルだったぞ","","No, maybe even more than that: wings on stage,
You were an amazing idol, like no one else.","","No, maybe even more than that. The wings on the stage
were an amazing idol no one else could ever imitate!"
"それって、わたしがキラキラに
輝いてるように聞こえちゃいますね","","That means that I'm a sparkling
It sounds like you're shining.","","That makes it sound
like I'm sparkling."
"聞こえるもなにも、実際にキラキラに輝いていたぞ！
目が離せないくらいだった！","","I don't know what you heard, but it was actually sparkling!
It was so hard to take my eyes off the road!","","What do you mean, I can hear it? It's actually glittering!
I couldn't take my eyes off her!"
"プロデューサーさん……","Producer-san...","","","Producer-san..."
"……えへへ、なんだか
モテモテライフにすっごく近づいた気がします","","...... ehehe, it's kind of...
I feel like I'm getting very close to a life of being irresistible!","","...Eheh~ I feel like we're getting really
close to being popular with the ladies."
"あれ？　これって……","","Huh? This is ......","","Huh? This is..."
"ん？　どうかしたのか？","","What's wrong?","","Hm? What's wrong, ?"
"……なんでもないですよ～♪　あ、そうだ！
約束したご褒美、忘れてませんよね！？","","......It's nothing~♪ Oh, yeah!
You didn't forget the reward you promised!","","...It's nothing♪ Oh, right!
You haven't forgotten your reward, have you?!"
"ああ、もちろんだ。
翼の行きたいところに出かけよう","","
Let's go out where the wings want to go.","","Yeah, of course.
Let's go where the wings want us to."
"やったーっ！　どこに行こうかな～♪
えへへっ、今から悩んじゃいますねーっ！","","Yay!!! Where shall we go?
Ehehe, now I'm worried about it!","","Yay! Where should I go? Heeheee,
now's the time to think about it~"
"無理のない範囲で頼むぞ。……ん？
翼、美希たちが呼んでるみたいだぞ","","Please make it as easy as you can. ...... hmm?
Tsubasa, I think Miki and the others are calling you.","","Don't push yourself too hard. ...Hm?
It looks like Miki and the others are calling for you."
"あ、ホントだ～。プロデューサーさん！
わたし、みんなのところに行ってきますねっ","","Oh, it's true~, Mr. Producer!
I'm going to go visit everyone.","","Oh, you're right! It IS Producer.
I'm going to go see everyone!"
"（そう言って立ち去る翼の表情は、
いつも以上に晴れやかで、魅力的だった……）","","(The expression on Tsubasa's face as he said that and walked away,
(She was even more radiant and charming than usual. ......)","","(Her expression as she says that and leaves is even
more cheerful than usual. It's so charming...)"
"（今回は翼の実力を存分に発揮できたフェスだった。
それに、翼が幸せそうにしているのがなによりだ！）","","(This time it was a festival where the wings were able to show their full potential.
Besides, the best part is that the wings look happy!)","","(This time, we were able to make full use of our wings.
Besides, I'm glad to see the wings are happy!)"
"（フェスで大成功をおさめた翼と
約束どおり、出かけることになった……）","","(with wings that were very successful at the festival)
(As promised, we are going out: ......)","","(As promised, I'm going out with the wings that
made it through this festival a huge success...)"
"……何でここなんだ？　もっとオシャレなところに
行きたい、って言うと思ったのに","","...... Why here? Someplace more fashionable.
I thought you were gonna say you wanted to go.","","...Why here? I thought you wanted
to go somewhere more stylish."
"何でって言われても、なんかお腹いっぱい
食べたいな～って思っただけですよ？","","I'm kind of hungry to be told why.
I just thought I'd like to eat it, you know?","","I don't know why, but it just felt like you
wanted to eat until your stomach was full."
"そうなのか。
まあ、翼がいいって言うのなら、いいか","","I see.
Well, if the wings say it's okay, then it's okay.","","Is that so?
Well, if you say wings are fine with it."
"それじゃ、たくさん食べ歩きしましょう♪
あっ、べつに高級店に入ってもいいですよ？","","Well, then, let's eat a lot of food...
Oh, you don't mind if I go into a high-end store, do you?","","Well then, let's eat a lot and walk around~ Ah!
You can enter the high-class store if you want."
"こ、高級店……？
あー……そのへんは、翼の判断に任せるよ","","This is an upscale restaurant ......?
Uh, ...... I'll let the wings decide on that one.","","A-A high class store...?
Ah... I'll leave that to you, Tsubasa-san. Your decision is yours and my wings alone"
"えへへっ、冗談ですよ、冗談♪
プロデューサーさんのお財布事情は知ってますから","","Hehehe, I'm kidding, kidding... ♪
I know how your producer's wallet works.","","Hehe, I'm just kidding~ We
know about Producer's wallet."
"プロデューサーさん、
なにか食べたいものってありますか？","","
Is there anything you want to eat?","","Is there anything you'd
like to eat, producer?"
"翼が食べたいものでいいけど、
あえて言うなら、まずは中華まんから食べたいな","","I don't mind if it's what the wings want to eat,
I dare say I'd like to start with a Chinese bun.","","I'm fine with what you want to eat on the wings, but if I had one
thing in mind... it would be Chinese steamed buns first of all."
"いいですね、中華まん！　食べ歩きしながら、
面白そうなお店があったら、入ってみましょう♪","","Nice, Chinese steamed buns! Eating and walking around,
If you see a store that looks interesting, go in... ♪","","That sounds great! Let's go inside if there are any
interesting places to eat while we walk around. ♪"
"えへへっ。好きな物をいっぱい食べれるなんて
ハッピーライフってカンジ♪","","Ehehe, I can't believe I can eat so many of my favorite foods.
Happy life.","","Heheh. It's like a happy life,
eating all the food you want! ♪"
"ハッピーライフか……。それは良かったな","","Happy life or ....... That's good to hear.","","A happy life, huh... That's good."
"プロデューサーさんはどうですか？
感じてます？","","What about Producer?
Are you feeling it?","","What about Producer?
Do you feel it?"
"ハッピーライフですよ、ハッピーライフ！
毎日が楽しくて、幸せなカンジです♪","","It's a happy life, a happy life!
Everyday I am happy and joyful.","","It's a happy life!
Every day is fun, and it's a happy feeling♪"
"毎日が楽しくて幸せかどうかか……","","Whether you are happy and joyful every day or not. ......","","I'm not sure if every day is fun or happy..."
"すごく幸せだ！","","I am very happy!","","I'm so happy!"
"翼ほどじゃないかな","","Not as much as wings, I guess.","","I think it's about the size of your wings."
"翼より幸せだ！","","Happier than wings!","","I'm happier than the wings!"
"すごく幸せだ！　ルミナス全体もだが、前の翼たちの
フェスは、プロデューサー冥利に尽きるものだった！","","I'm so happy! And the whole luminous, but the wings before.
Festivals have been a great experience for Producers!","","I'm so happy! Luminous as a whole, but the
previous Wings Festival was something to be proud of."
"えっ、それ、ホントですか～？
……えへへ、すっごく嬉しいです～♪","","What, is that true?
......hehehe, I'm so happy~♪","","Eh, is that true?
...Eheh, I'm really happy~"
"もしかしてわたしも、プロデューサーさんに
ハッピーライフをお届けしてるのかな～","","I wonder if I might also be a producer.
I hope I'm bringing you a happy life!","","Maybe I'm giving Producer
a happy life, too!"
"翼ほどじゃないけど、幸せかな","","Not as happy as Wings, but happy.","","It's not as happy, but I guess it is."
"えへへ、今のわたしのハッピーライフっぷりは
すっごいですからね～♪","","Heh heh, I'm living a happy life now.
It's amazing!","","Heheh, I'm so
happy right now! ♪"
"だから、プロデューサーさんにも、ハッピーの
おすそ分けをしちゃいますね～","","So, I'd like to give Producer a Happy's
I'll share with you!","","So I'll share my
happiness with Producer, too!"
"俺は、翼より幸せだぞ！　……って思ってないと、
やってられないことが多いんだ……大人は……","","I'm happier than my wings, if you don't think ......,
There's a lot of things I can't do ...... adults can't do ......","","I'm happier than the wings! ...There are a lot of things
that I can never do without thinking like this. Adults..."
"プロデューサーさんがハッピーならいいんですけど、
その言い方だと、ちょっと心配になりますね～","","I hope Producer is happy,
The way you put it, I'm a little worried~.","","I hope Producer is happy, but I'm a little worried when you say it like that. It makes
me feel kind of bad for him to be so upset about us being together in this way too~"
"あ、それならわたしがプロデューサーさんに
ハッピーをお届けしますね","","Oh, in that case, I'm Producer.
I'll bring you some happiness.","","Oh, then I'll bring
happiness to Producer."
"翼のハッピーが俺に……か。
確かに、今の翼からはハッピーがあふれ出てるもんな","","Happy wings to me ......?
Sure, there's a lot of happiness overflowing from the wings right now.","","The happiness of the wings... for me?
It's true that my wings are overflowing with happiness right now."
"えへへ♪　それじゃ、プロデューサーさんにも
モテモテライフがやってくると思いますよ！","","Hehehe♪ Well then, I'll let Producer know.
I think you will have a popular life!","","Heheh! ♪ Well, I'm sure Producer will be
super popular with his customers soon enough."
"俺にモテモテライフ……。どういうことだ？","","What do you mean?","","Popular with me... What's going on?"
"う～ん、なんていうんだろう。
なんとなく気づいたんですけど……","","Hmmm, what can I say?
I somehow noticed this: ......","","Hmm, how should I put it...
I just kind of noticed, but..."
"ハッピーライフがモテモテライフを、
運んできてくれるような気がするんですよね♪","","Happy life is a popular life,
I feel like they bring it to me.â","","I feel like my happy life will
bring me a popular one. ♪"
"それで、モテモテライフがハッピーライフを、
もっとキラキラにしてくれるんです","","So, a mote life is a happy life,
They make it more sparkly.","","That's why the popular life will make
your happy lives even more sparkly, too.」"
"そういえば、フェスが終わった後、
そんなことを言っていたような気が……","","Oh, by the way, after the festival was over,
I think he said something like that: ......","","Come to think of it, she did say
something like that after the festival..."
"でもこれって、
プロデューサーさんのおかげなんですよ？","","But this is,
It's all thanks to Producer, right?","","But this is all thanks
to Producer."
"俺の？","","Mine?","","Mine?"
"わたしがアイドル活動を頑張ってる姿を
イキイキしてるって褒めてくれましたよね？","","I want you to see me working hard at my idol activities.
You complimented me on my vigor, didn't you?","","Didn't you praise me for working
hard at my idol activities?"
"それに、フェスの時も
キラキラしてて、すごいアイドルだったって","","Besides, I was at the festival.
He said she was sparkling and an amazing idol.","","And she was really popular
during the festival, too."
"だから、気づいたんです","","So I realized.","","That's why I noticed."
"美希先輩のモテモテハッピーなカンジとは
違うかもしれないですけど……","","What is Miki Senpai's irresistibly happy disposition?
Maybe not. ......","","It might be different from
Miki-senpai's happy, popular look..."
"わたしのモテモテハッピーライフって、
モテモテとハッピーがぐるぐる回ってるんです","","My irresistibly happy life,
The irresistible and the happy go round and round.","","My popular, happy life is
full of ladies and happiness."
"ハッピーがモテモテを連れて来てくれて、
モテモテがハッピーをキラキラにしてくれる……","","Happy brought the motley crew,
Motivation makes happiness sparkle. ......","","Happy brings in the ladies, and
popular girls make happy sparkle for us..."
"それが、モテモテハッピーライフ……。
じゃないかな～って♪","","That's the motto Happy Life .......
I think it's a good idea....","","That's what it means to be popular and happy...
I thought it might be. ♪"
"そうか……。
翼らしい答えだな","","
That's a very winged answer.","","I see......
That's a winged answer."
"プロデューサーさんが言ってた通り、アイドルを
頑張ると、ハッピーライフになることが多いから","","As Producer said, you're an idol.
Because when you work hard, you'll often have a happy life.","","Like Producer said, working hard as
an idol often brings you a happy life."
"もうちょっとだけアイドルを頑張って、もっと
モテモテハッピーライフになろうって思ったんです♪","","I'm going to work on my idol just a little bit more, and then I'll be more
I thought, ""Let's be irresistibly happy life...","","I wanted to work hard as an idol and live a
happy life of being more popular with the ladies♪"
"つ、翼……！！
積極的に頑張ってくれる気持ちになったんだな……！","","One, wings ......!
You're feeling positive and willing to do your best. ......","","W-Wings...!
She's trying her best...!"
"でも、しんどいのがイヤなのは、
変わらないんですけどね～","","But what I don't like is the hardship,
It's still the same.","","▁But it doesn't change the fact that I
still hate being so tiresome, you know~?"
"そこは変わらないのか……！","","Is that part of the story still the same? ......","","That part hasn't changed...!"
"えへへっ……。
あ、それでですね……","","Hehehe. .......
Oh, and so: ......","","Heheh...
Oh, and by the way..."
"わたしのモテモテハッピーライフの真ん中には、
いつも、プロデューサーさんがいるんですよ～♪","","In the middle of my irresistibly happy life,
There's always a producer!","","There's always a producer in the
middle of my happy life. ♪"
"えっ、俺？
それって、どういう意味……","","What, me?
What does that mean: ......","","Huh, me?
What do you mean by that..."
"……あっ！　すっごくおいしそうな匂いが
しますよ～♪　ほら、はやく食べにいきましょう！","","...... Oh, it smells so delicious!
I'll do it......let's go eat quickly!","","...Ah! It smells really good. ♪ Come on, let's
hurry up and eat some of it already~"
"こ、こら。翼。腕を引っ張るな……！","","Hey, hey, wing. don't pull my arm. ......","","H-hey, wings. Don't pull on my arm...!"
"えへへっ♪　プロデューサーさん、これからも一緒に
モテモテハッピーライフ、楽しんじゃいましょうね♪","","Ehehehe♪ Producers, we will continue to work together.
Let's enjoy the happy life of irresistible attraction!","","Heheh! ♪ I hope you'll continue to enjoy your
popular and happy life together, Mr. Producer~"
"みんな～、今日も最後までありがとー！
それじゃ、最後にいつもの……やっちゃいますか～♪","","Thanks again, everyone, for making it to the end of the day!
Well then, let's do the usual ...... at the end~!","","Thanks for everything today, everyone!
Well then, let's do the usual... one last time~"
"ワー！！！","","Wah!","","Whoa!!!"
"みんな～、ハッピーですか～？","","Everyone - are you happy?","","Is everyone happy?"
"モテモテでーす！！！","","I am irresistible!","","You're sooo popular!!!"
"みんな～、モテモテですか～？","","Everyone~, are you irresistible?","","Are you guys popular?"
"ハッピーで～す！！","","I am happy~!","","I'm so happy!!"
"イエ～イ、ありがと～！　みんなも、みんなだけの
モテモテハッピーライフ、楽しんじゃってね～！","","Yay, thanks! Everyone and only everyone!
Enjoy your irresistible happy life!","","Yaaay! Thank you sooo much. I hope everyone enjoys their happy life
of being popular with the ladies, just like everybody else~"
"お疲れ様、翼。
今日のイベントは、モテモテ寄りだったな","","Good job, Wings.
Today's event was more on the motley side.","","Good work, Wings.
Today's event was pretty popular."
"お疲れさまです、プロデューサーさん。
そうですね、今日はモテモテなカンジでしたね♪","","Good job, producer.
Yes, it was a irresistible feeling today.","","Good work, producer.
That's right, you were really popular today♪"
"昨日のライブはハッピーライブだったし……。
うん、ライブの空気を自在に操っているな、翼！","","Yesterday's show was a happy show and can be found at .......
Yes, you have the air of a live performance at your disposal, Tsubasa!","","Yesterday's concert was a happy one...
Yeah, you're freely controlling the mood of this concert."
"えへへっ、今日のイベントも楽しかったな～♪
モテモテ感がファンから伝わってくるってカンジで！","","Ehehe, today's event was fun too!
It's like the fans can feel the irresistible feeling of being popular!","","Heheh, today's event was so much fun~ I
can feel how popular you are with the fans!"
"あっ、プロデューサーさん。そういえば、
今週のスケジュールって、分かりますか？","","Oh, Mr. Producer, come to think of it,
Do you know what the schedule is for this week?","","By the way, Mr. Producer... Do you
know what your schedule is for this week?"
"えっと、明日はファッション誌のモデル撮影……。
それと、明後日は新作アイスのプロモーションだな","","Well, tomorrow is a model shoot for a fashion magazine .......
Oh, and the day after tomorrow, we'll be promoting our new ice cream.","","Um, tomorrow I'll be taking a model photo for the fashion magazine...
And the day after that, I'll be promoting my new ice cream."
"ファッションモデルにアイスのプロモーション……！
えへへっ、ハッピーなお仕事でいっぱいですね♪","","Promoting Ice Cream to Fashion Models. ......
Ehehe, you are full of happy work... ♪","","Fashion models and ice cream promotion...!
Hehe, you're full of happy jobs~"
"なんだか、モテモテハッピーライフを
バクシンチュウってカンジです♪","","What a irresistibly happy life!
Bakushinchu is the name of the game.","","It's kind of like a back-alley
happy life for the ladies! ♪"
"モテモテハッピーライフ……か","","A Motivating Happy Life: ...... or","","Happy life with popularity, huh..."
"（この翼のバイタリティとポテンシャル……もしや、
モテモテハッピーライフはアイドルの本質を……）","","(The vitality and potential of this wing ...... if,
(The irresistible happy life is the essence of idol: ......)","","(The vitality and potential of these wings... Could it
be that the popular, happy life is an idol's essence?)"
"プロデューサーさん？
なにを考えているんですか？","","
What are you thinking?","","Are you a producer?
What are you thinking about?"
"あっ、いや……。
翼の将来について、少しな……","","Oh, no, .......
A little bit about the future of wings: ......","","Ah, no......
About the future of wings..."
"わたしの将来……？","","My future ......?","","My future...?"
"えへへっ。
そんなのひとつしかないじゃないですか～♪","","Heh heh.
There's only one such thing~♪","","Eheheh.
There's only one of those~♪"
"……どうしたんだ、翼！
急に、手なんか握って……！？","","...... What's up, Wings!
Suddenly, you're holding my hand ......!","","...What's wrong, Tsubasa?!
Why are you holding my hand all of a sudden?!"
"わたしの将来は……ねっ、わかってますよね？
プロデューサーさん……ダメェ？","","My future is ......, you know that, right?
Producer: ...... No?","","As for my future... You know that, right?
Hey, producer... Can I?"
"な、なにを……だ？","","Hey, what's ......?","","Wh-What...?"
"そんなこと、わざわざ言わなくたって、
プロデューサーさんにはわかります……よね♪","","Don't bother telling me that,
Producers will understand.......♪","","You don't have to tell me that.
Producer knows it, right?"
"わたしとプロデューサーさんが、もっともーっと
モテモテハッピーライフになれるように……","","Me and my producer have been working on this for a long time.
To make your life irresistibly happy: ......","","So that Producer and I can
live our happiest lives together..."
"これからも、
プロデュースよろしくお願いしま～す♪","","From now on,
Thank you for producing!","","I hope you'll continue
to produce it for us! ♪"
