"この気配……くんくん。
ふむ、これは亜美刑事の出番だね……！？","","This sign ...... kun kun.
Hmmm, this is where Detective Ami comes in: ......!","","This presence... *sniff* *sniff*
Hmm, it's Detective Ami's turn...!?"
"じ、自由すぎる展開だな。
おにぎりは後で食べるとして……","","Ji, that's too free a development.
I'll eat the rice balls later. ......","","Th-That's a pretty free-spirited development.
I'll eat onigiri later..."
"具がきちんと決まってないんじゃないか？
どんな具を選ぶか、結構大事だと思うけどな","","I'm not sure the ingredients are properly defined.
I think it's pretty important what ingredients you choose.","","The ingredients haven't been properly decided, have they?
I think it's pretty important to choose the ingredients."
"た、たしかにー！　亜美探偵ってば大事なヒントを
見逃してた！　あやうく犯人を逃すところだったよ！","","Indeed, Ami, you've given us a very important clue!
I missed it! I almost missed the culprit!","","Y-You're right! I missed an important hint,
Detective Ami! I almost missed the killer!"
"おにぎり探偵亜美、無事犯人を確保しましたー！
よしよし、これにて一件落着♪","","Onigiri detective Ami, the culprit is safely secured!
Okay, okay, that's all settled... ♪","","Onigiri Detective Ami has safely captured the culprit!
There, there. That settles it. ♪"
"な、なにが一件落着したんだ！？
まだ話は終わってないぞ","","Hey, what's all over the place!
We're not done talking yet.","","Wh-What's been resolved!?
I'm not done talking yet."
"具を決めた後はご飯の仕事だ。どっちもバランスよく
揃ってこそ、美味しいおにぎりになるだろ？","","Once you've decided on the ingredients, it's time to work on the rice, both of which need to be balanced.
It's only when they're all together that they make a good rice ball, right?","","After we've decided on the ingredients, we'll have to work on the
rice. We'll both be good onigiri if we keep our balance, right?"
"おにぎりは、ご飯と具のバランスが大事ってこと？
確かにおいしいおにぎりは、バランスがいいかも……","","So onigiri is all about the balance between the rice and the ingredients?
Surely a good rice ball could be a good balance: ......","","Does that mean the balance of rice and ingredients is important for onigiri?
It's true that delicious onigiri are well-balanced..."
"今の亜美は、具がないおにぎりになるんじゃないか？
亜美が育てているのはご飯、外見だけに聞こえるぞ","","Now Ami would be a rice ball with no ingredients.
Sounds to me like Ami is raising you rice, just for looks.","","Right now, wouldn't Ami turn into an onigiri without any fillings?
Ami, you're raising food. It's just how you look."
"亜美、具はまだ入れてる最中だよ～！
これから入れるもん！","","Ami, the ingredients are still being added!
I'm going to put it in now!","","Ami, the ingredients are still in the middle of putting them in~!
I'm gonna put it in now!"
"それなら中身も今から考えないとな。
このままじゃ、亜美はへんてこなおにぎりになるぞ","","Then we'll have to start thinking about what's inside now, too.
At this rate, Ami will turn into a weird onigiri!","","In that case, I'll have to think about what's inside.
At this rate, Ami will become a weird rice ball."
"うあうあ～！　亜美、へんてこはヤダ！
おいしそうな、ほくほくおにぎりになりたいよ～","","Ami, I don't want to be weird!
I want to be a yummy, dusty rice ball!","","Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
I wanna be a tasty-looking, glutinous onigiri~"
"とにかく、中身と外見を亜美のペースで作って、
最高のおにぎりを目指そう！　ってことだな","","Anyway, make it inside and out at Ami's pace,
I guess that means we're going for the best onigiri ever!","","Anyway, let's make the inside and the outside
at Ami's pace, and aim for the best onigiri!"
"うん！
兄ちゃん、今の話は亜美なんとなーく分かったよ","","Yeah!
Brother, I kind of understand what you just said, Ami.","","Yeah!
Onii-chan, I think I get what you're saying now, Ami."
"亜美、具もご飯も、サイコーのものを選んで、
サイコーのおにぎりになるよ！　まず具は……","","Ami, choose the best ingredients and the best rice,
It makes a great onigiri! First of all, you can find the ingredients at ......","","Ami, I'll choose the best ingredients and rice balls,
and make the best onigiri ever! First, the ingredients..."
"ツナマヨ！　ツナをマヨマヨして、おいしいお米で
にぎにぎして、世界一のツナマヨになればいいんだね","","Tuna mayo! Tuna with mayo and delicious rice!
So you just have to niggle and make it the best tuna mayo in the world.","","Tsuna mayo! You just need to make tuna mayo, fill it with
delicious rice, and become the best tuna mayo in the world!"
"世界一のツナマヨ？　ツナマヨとおいしいご飯で
世界一のおにぎりを目指すってことか？","","The world's best tuna mayo? With tuna mayo and delicious rice
You mean to be the best rice ball in the world?","","The best tuna mayo in the world? You're trying to be the
best onigiri in the world with tuna mayo and delicious rice?"
"んっふっふ～♪　そのとーり！
亜美はウルトラアイドル亜美だかんね！","","That's right!
Ami is Ami the Ultra Idol!","","Hehehe~ ♪ That's the spirit!
Ami is ultra idol ami!"
"すぐにツナをマヨマヨしてニギニギして世界一に
なっちゃうから！　だから～次は兄ちゃんの番！","","Soon the tuna was mayonnaise and niggly and the best in the world.
That's why - it's my brother's turn!","","You'll be the best in the world with all
the tuna in you! So now it's your turn!"
"亜美が最高のおにぎりになるように、
兄ちゃんの手で……優しくにぎにぎしてね♪","","May Ami be the best rice ball ever,
You can ...... gently nip it with your brother's hand... ♪","","So that Ami can make the best onigiri,
with your hands... hold it gently♪"
"ああ、任せろ！","","Yeah, I got it!","","Yeah, leave it to me"
"よーし、亜美お仕事バリバリこなして
キャリーケースマンになるぞー！　おー！","","Okay, Ami, go to work and do your best.
I'm going to be a carry case man!","","All right, Ami, let's work hard
and become the carry case man!"
"キャリーケースになったらだめだろ。
おにぎりを目指す話はどこにいったんだ……？","","You can't be a carrying case.
Where's the story about going for the rice balls: ......?","","You can't be a carry case.
Where did the story about aiming for onigiri go...?"
"ふふふーん、兄ちゃん、亜美に抜かりはないのだ♪
さー兄ちゃん、手を出しなさい、逮捕するー！","","Hmmm...brother, Ami has not been left out...
Come on, brother, give me your hand, or you're under arrest!","","Heheheh, Ami never misses a beat, onii-chan~ Now, onii-chan,
lay your hands on her, you're under arrest~!"
"なんでだ！？","","Why not?","","Why?!"
"なんちゃって☆
兄ちゃん、手をにぎにぎしながら帰ろーよ！","","Just kidding!
Let's go home, brother, while wringing your hands!","","Just kidding☆ Let's go
home clutching our hands!"
"ああ……そうだな、
ちょっとだけ寄り道しながら帰るか","","Yeah, ......, that's right,
Let's take a little detour and go home.","","Yeah... Let's take a little
detour on the way home."
"うん、イイネイイネ寄り道！
おにぎり食べよう！　えへへ♪","","Yeah, Iineine stopover!
Let's eat rice balls!","","Yeah, we're taking a detour!
Let's eat onigiri! Ehehe♪"
"まあいいけど……それより亜美、
次の仕事だけど、ラジオの話が来ている","","Well, okay, but ...... more importantly, Ami,
My next job, though, is coming up on the radio.","","Oh well... More importantly, Ami,
about your next job, the radio's here."
"その番組は、亜美と同年代の子達向けだから、
等身大の亜美が求められているんだ","","That program is for children of Ami's age,
They want a life-size Ami.","","That program is for kids Ami's age, so
they're looking for a life-size Ami."
"どうだろう。俺は今の亜美なら、すごくいい仕事に
なると思っているんだけど……","","I don't know, I think Ami would do a great job right now.
I'm thinking it will be: ......","","I don't know. Right now, I think
you'd make a great job, Ami..."
"ふむふむ、等身大……ありのままってこと？
それなら亜美ちゃんにマッカセーナサーイ☆","","Hmmm...you mean life-size ...... as it is?
Then I'll give Ami-chan a makkasenasai☆.","","Hmm, life-size......you mean as it is?
Then let's go to Ami-chan and Makkasensei☆"
"マヨマヨな亜美なら、等身大も大人なミリキも
なんのその！　カンペキにこなしてみせるかんね♪","","Mayo-mayo Ami can be both isometric and mature Miriki.
I don't care! I'm going to do it perfectly!","","If you're a Mayo-Mayo Ami, then I'll make you perfect,
no matter how big or mature you are! ♪"
"ああ、任せるよ。
亜美のトーク、楽しみにしているからな","","Yeah, I'll leave it to you.
I'll be looking forward to Ami's talk.","","Yeah, I'll leave it to you.
I'm looking forward to your talk, Ami."
"（調子が出てきたな。等身大の亜美らしい仕事を
通して、もっと良さを亜美自身に理解してもらおう）","","(You're starting to get on a roll....life-size, Ami-like work...)
(Through the process, let's make Ami herself understand more about the goodness of the product.)","","(I'm getting ahead of myself. I'll go through life-size Ami-esque
work and make her understand how much better I am.)"
"じゃあまったねーん☆
ウルトラせくしーアイドル、亜美でしたー！","","See you later.
It was Ami, the Ultra Seshi Idol!","","See you later! ☆ I'm
Ultra Sexy Idol, Ami!"
"（うん、いい感じだ！
等身大で明るく元気なトークだった）","","(Yeah, it's nice!
(The talk was life-sized, cheerful, and energetic.)","","(Yeah, it's going great!
It was a lifesize, bright and energetic talk."
"（やっぱり亜美は亜美らしく
のびのびしている方が魅力的だな）","","(After all, Ami is still Ami.
(The more spontaneous, the more attractive.)","","(Ami really is more attractive
when she's relaxed like Ami.)"
"どうどう？　兄ちゃん！　亜美のトークパワ～！
カンペキにサイコーだったっしょ♪","","How's it going, brother! Ami's talk power~!
It was perfect!","","What do you think, bro?! Ami's talk power!
It was perfect, wasn't it?"
"聞き惚れちゃったかなー？
我ながら、アッパレ晴天なトークだったよ、うん！","","Have I fallen out of love with you?
It was an appallingly sunny talk, yes!","","Did I overhear you?
It was a beautiful talk, if I do say so myself!"
"ははは、そうだな。
本当にあっぱれな、等身大の亜美らしいトークだった","","Ha, ha, yes.
It was a truly remarkable, life-size Ami-like talk.","","Hahaha, yeah.
It really was a life-size Ami-like talk."
"スタッフさんも褒めてたぞ。
元気が出る番組だったって","","The staff praised you, too.
He said it was an uplifting show.","","The staff was praising her.
He said it was a show that cheered him up."
"んっふっふ～♪　分かってるね～、兄ちゃん！
亜美ってばデキル女だかんね☆","","Mmmmmm~♪ You know what I'm talking about, brother!
Ami is a very talented woman.","","Teehee~ You know what you're doing, don't you?
Ami is a dead woman, after all!"
"頼まれた仕事をきっちりとこなしてこそ、
大人ってやつでしょ？","","You have to do exactly the job you are asked to do,
You know, like an adult, right?","","You're an adult when you do the
work you're asked to do, right?"
"これはもはや世界一のツナマヨおにぎりに
なる日も近い……！？","","This is now the world's best tuna mayo onigiri.
The day is near when it will be ......!","","The day when I'll become the world's
best tuna mayo onigiri is nigh...!?"
"兄ちゃん、にぎにぎする準備はできた！？
亜美はもう……もう！　おにぎりになっちゃうぞー！","","Brother, I'm ready to niggle!
Ami is already ...... already! I'm going to be a rice ball!","","Hey, are you ready to hold it!?
Ami's going to... Geez! She's going to turn into a rice ball!"
"よくわからないが、いつでもいいぞ。
亜美を最高のおにぎりにするためならな！","","I don't know about you, but I'm always up for it.
If only to make Ami the best rice ball ever!","","I don't really get it, but I'm ready anytime.
To make ami the best onigiri!"
"さっすが兄ちゃん……！
亜美、感動し過ぎてびっくりしたよ！","","That's my brother. ......!
Ami, I was too moved and surprised!","","That's my brother!
Ami, I was so moved I was surprised!"
"そんなオトコギあふれる兄ちゃんくんには
ガムをあげよう！　はい、受け取りたまえ☆","","For such a geeky brother-kun...
I'll give you gum!","","I'll give you some gum for being
so full of men! Here, take it! ☆"
"（ん？　どこかで見たようなパッケージだな……）","","(Hmmm? Looks like a package I've seen somewhere. ......)","","(Hm? I feel like I've seen this package before...)"
"ありがとう、じゃあ遠慮なく……
……痛てッ！！","","Thanks, then feel free to ......
...... Ouch!","","Thank you, then I won't hold back...
...Ow!!"
"引っかかったー♪　イタズラだーいせーいこーう！
ガムパッチンでしたー☆","","I'm stuck...!
It was a gumball.","","You fell for it! ♪ Let's play a prank, let's go, let's go!
It was gumpatchn! ☆"
"兄ちゃん、油断はキンモツだよ♪","","Brother, you can't be too careful.","","Don't let your guard down, mister! ♪"
"これ、真美と兄ちゃんで一緒に買いに行った
ジョークグッズだかんね","","Mami and her brother went to buy this together.
It's a joke product.","","This is a joke item that Mami
and I went to buy together."
"イタズラは忘れた頃にやってくるのだ☆
亜美ってば兄ちゃんをびっくりさせる天才だね♪","","Mischief comes just when you forget about it☆.
Ami is a genius at surprising my brother.","","Pranks come when you've forgotten☆ Ami is
a genius that surprises you, isn't she♪"
"そうだ、どこかで見たと思っていたんだ……。
最近イタズラが落ち着いてたから油断してた……","","Yes, I knew I had seen it somewhere. ......
I was caught off guard because the pranks had calmed down recently: ......","","That's right, I thought I'd seen her somewhere before...
I was careless because the pranks have been calming down lately..."
"んっふっふ～♪
亜美はいつだってイタズラに余念がナイのであーる☆","","Mmm-hmm~♪
Ami is always up to mischief.","","Nfu fu~♪ Ami is always so unenthusiastic
when it comes to pranks☆"
"いきなり亜美をカフェに連れ込んで……
何を企んでるの、兄ちゃん？","","Suddenly, he took Ami to a café and ......
What are you up to, brother?","","I suddenly brought ami to the café...
What are you up to, brother?"
"なんか誤解が生じそうな言い方だな……","","Something about the way you say it sounds misleading: ......","","That's a misleading way to put it..."
"亜美、あーんなことやこーんなことされちゃうの！？
きゃ～おやめくださ～い！","","Ami, they're going to do ah-ha's and ah-ha's!
Kya~ please stop!","","Ami, are you going to do that and that to me!?
Kyaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"
"亜美が仕事で頑張ったから、そのご褒美でカフェに
来たんだが……やめるか？","","Ami worked hard at work, so we went to the café as a reward.
I'm here... do you want to stop ......?","","I came to the cafe as a reward for
Ami's hard work. Do you want to stop?"
"え、ゴホービ！？　やめない！
やったぁ～！　どのプリンを５個頼もうかな～♪","","Eh, gohobi! I won't stop!
Yay!!! Which 5 puddings should I order?","","Huh? Gohobi?! I won't stop!
Yay! Which pudding should I order?"
"そんなに頼むのか……。まあいいけど……","","You ask so much ....... Well, okay, but ......","","You're asking me to do this...? Well, whatever..."
"はい、兄ちゃん先に選んで！","","Yes, brother, choose first!","","Alright, you pick first!"
"……っ！？
あ、ああ、ありがとう……。俺はコーヒーかな","","......!
Uh, yeah, thanks ....... I guess I'm coffee.","","...!?
Y-Yeah, thanks... I'll have some coffee."
"（亜美が自分の注文よりも先に、
俺にメニューを見せてくれるなんて……）","","(Before Ami even ordered her own,
I can't believe you're showing me the menu (......).","","(I can't believe Ami showed me the
menu before I ordered it...)"
"オケオケオッケー☆　亜美はどれにしようかな～。
兄ちゃん、ご予算はいかほどで？","","Okeokay-okay☆ Which one should Ami choose?
Brother, what is your budget?","","Okay, okay☆ Which one should I pick for Ami?
What's your budget, mister?"
"ご予算か？　そうだな……","","Your budget? Yes. ......","","A budget? Let's see..."
"気にしなくていい","","Don't worry about it.","","Don't worry about it."
"交渉次第だな","","Depends on the negotiations.","","It's up to you to negotiate."
"ご予算は気にしなくていいぞ","","Don't worry about your budget.","","Don't worry about the budget."
"え！？　気にしなくていい……に、兄ちゃん……
早まるなー！　気は確かかー！？","","What! Don't worry about it ......, brother ......
Don't be quick! Are you out of your mind?","","Huh!? Don't worry about it... N-Nii-chan...
Don't be hasty! Are you crazy?!"
"あ、もしかして……よいどれの金は持たないって
やつ？　よ！　兄ちゃん、イキだねぇ～♪","","Oh, maybe you're saying ...... that you don't have any money.
You're so hot, brother!","","Ah, could it be... You don't have any
money? Yo! You're cumming, aren't you?♪"
"宵越しな。亜美が仕事を頑張ったから
気にしなくていいって言っただけだぞ","","Evening, because Ami did a great job.
I just said don't worry about it.","","Overnight. I just told you not to
worry about it because Ami worked so hard."
"亜美が頑張ったからか……んっふっふ～♪
さっすが兄ちゃん、話が分かるね～！","","Maybe it's because Ami worked so hard on ...... nffffff~♪
You're right, brother, you know what you're talking about!","","Maybe it's because Ami worked so hard... Hehehe~♪
That's Nii-chan for you, he's so understanding~!"
"亜美の交渉次第だな","","It's up to Ami to negotiate.","","It's up to ami's negotiation."
"交渉！　すっごく大人な匂いがする言葉だね？
わかった、亜美交渉頑張るよ！","","Negotiation! That's a very grown-up smelling word, isn't it?
Okay, I'll do my best to negotiate Ami!","","Negotiate! That's a very mature word, isn't it?
Got it. I'll do my best in negotiations with ami!"
"そうだねぇ……兄ちゃん、これは亜美に
先制パンチするチャンスだよ！","","Well, ...... brother, this is for Ami.
It's a chance to punch first!","","You're right... Brother, this is my
chance to give Ami a preemptive punch!"
"亜美はこれからもっとビッグになるんだかんね！
今のうちに、先制パンチしなきゃ損ってもんだよ！","","Ami is going to be even bigger from now on!
If you don't punch first while you still can, you're missing out!","","Ami is going to become even bigger from now on!
If I don't strike while I still can, I'll lose!"
"先制パンチ……もしかして先行投資のことか？
ビッグになる亜美なら、投資のし甲斐があるな","","Preemptive Punch ...... maybe you mean preemptive investment?
Ami going big would be a worthwhile investment.","","A preemptive punch...? Are you talking about an investment?
If you're going to become a big shot, it'll be worth investing in."
"やったー！　亜美たっくさん食べたいんだよね～。
兄ちゃんの財布、覚悟よろよろ～♪","","Yay! I want to eat a lot of Ami!
My brother's wallet, be ready for anything~♪","","Yay! Ami wants to eat a lot.
Your wallet's ready to go~♪"
"ふんふふーん、メニュー、どれもおいしそ～♪
兄ちゃん、亜美、決まったよ！","","
Brother, Ami, it's decided!","","Hmm, hmm, everything on the menu looks
delicious~ Onii-chan, Ami, it's decided!"
"亜美はこのページから次のページまでに出てくる
プリンって単語がついてるスイーツ、全部でいい？","","Ami will be on this page and the next.
All sweets with the word ""pudding"" in them, all right?","","Ami, are you okay with all the sweets
that have the word pudding on them?"
"まあ、全部食べ切れるならいいよ","","Well, as long as you can eat it all up.","","Well, as long as you can eat it all."
"アイアイサー♪　もち、お腹が爆発しても食べるよ！
兄ちゃん、後は任せたー","","Ai Issar♪ Of course, I'll eat it even if my stomach explodes!
I'll take care of the rest, brother!","","Aye, aye♪ I-I'll eat it even if my stomach explodes!
Onii-chan, I'll leave the rest to you-"
"いやいや……爆発する前にやめような","","No, no, no, ...... let's stop this before it explodes.","","No, no... Let's stop before it explodes."
"（やっぱり変に大人ぶる亜美より、
いつも通りの亜美が、一番魅力的だな）","","(Rather than Ami, who still acts strangely mature,
(Ami, as usual, is the most charming of all.)","","(Ami's still the same Ami as always. She's
more attractive than the weirdly mature Ami.)"
"兄ちゃん兄ちゃん、テーヘンテーヘンテーヘンだー！
双海亜美に仕事を渡さないと……テーヘンだよ！？","","Brother brother brother, it's tee hee hee hee hee hee hee!
If you don't give the job to Ami Futami, it's ...... thehen!","","You're such a pain in the ass!
If I don't give Futami a job... it'll be a pain!"
"な、なんだ！？
亜美、どうしたんだ？","","Hey, what the hell!
Ami, what's going on?","","Wh-What's going on!?
Ami, what's wrong?"
"このままでは……このままではっ！
亜美はでっかいイタズラをやっちゃうっぽいよ～！","","If we don't do this, we're going to have to go to ...... as it is!
Ami is going to do a big prank!","","At this rate... At this rate...!
Ami seems like she's going to play a big prank on me~!"
"ってことで、なにか亜美に仕事ないの～？
今もお仕事してるけどー、亜美もっとお仕事したい！","","So, do you have any work for Ami?
I'm still working, but I want to work more, Ami!","","So, don't you have any work to do, Ami?
I'm still working, but I want to work more!"
"そんでお仕事頑張ったゴホービにカフェに寄って、
プリンのヨインを味わいながら一緒に帰ろうよ～","","Then, after a hard day's work, we stopped by a café in Gohobbi,
Let's go home together while savoring the pudding yoin~!","","Let's stop by the cafe and have some pudding
with Gohobi, then go home together."
"……そこまで予定が組まれているのか","","...... is that far into the schedule?","","...So they've made plans for this."
"仕事にする？　カフェにする？　そ、れ、と、も……
亜美真美プレゼンツ兄ちゃんイタズラ大作戦にする？","","Do you want a job or a café? And so on and so forth: ......
Ami Mami Presents: Operation Mischief for My Brother?","","Do you want to work? Or do you want to go to a cafe? W-Wait...
Ami, mami, do you want to play a big prank on big brother presentation?"
"なんだその３択は……
でも、そうだな……","","What are those three choices: ......
But yes, ......","","What are those three choices...?
But, I guess..."
"全部だ！","","All of them!","","All of it!"
"仕事ならあるぞ","","I've got a job for you.","","I've got a job for you."
"仕込んだイタズラの
撤去からだ","","The planted prank.
From removal.","","It's about getting rid of
the pranks I put in you."
"全部だ！　仕事にカフェに……
ちっちゃいイタズラなら許可する！","","All of it! Work, cafe, ......
If it's a tiny prank, I'll allow it!","","Everything! Work, cafe...
I'll let you play a little prank on me!"
"兄ちゃん、太っ腹～！　仕事もカフェも
でっかいイタズラも許しちゃうなんて……！","","Brother, you're so generous~! Work and café!
I can't believe they allow big pranks. ......","","You're so generous! I can't believe you'd
forgive work, cafés, and huge pranks like that!"
"でっかいイタズラは許してないぞ、
ちっちゃいイタズラだ","","I don't allow big pranks,
It's a little prank.","","I'm not gonna let you pull
any big pranks, little pranks."
"でっかいもちっちゃいもおんなじだよ☆
亜美、頑張るから。待っててね、兄ちゃん","","Big and small are the same.
Ami, I'll do my best.","","It's the same with big and small☆ Ami will
do her best. Wait for me, Onii-chan."
"亜美は兄ちゃんを必ずびっくりさせてみせる。
兄ちゃんの名にかけて！","","Ami will surely surprise her brother.
In the name of my brother!","","Ami will definitely surprise oniichan.
On my name as your brother!"
"仕事ならあるぞ。
俺が亜美に仕事を用意していないと思っているのか？","","There's a job for you.
You think I don't have a job lined up for Ami?","","I have a job for you.
Do you think I haven't prepared a job for ami?"
"に、兄ちゃんがかっこいいセリフを……！？
これこそまさに、オレ様ナニ様兄ちゃん様だー！","","To, my brother has a cool line at ......!
This is exactly what I am talking about!","","Y-You said something cool...!?
That's exactly what I'm talking about!"
"じゃあじゃあ、プリンは何個までＯＫかな？
亜美、お腹の準備はバッチリだよ☆","","Okay, then, how many puddings are allowed?
Ami, my stomach is ready for you☆.","","Then, then, how many puddings is okay?
Ami, your stomach is ready☆"
"結局プリンも食べるのか……。
まあ、仕事を頑張ってくれたらな","","After all, you eat pudding too. ......
Well, if you do your job well.","","So she's going to eat pudding after all...
Well, good luck with your work."
"やったー！　プリンもついたー！","","Yay! Pudding is on, too!","","Yay! The pudding's here, too!"
"まずは亜美が俺の机に仕込んだ、ヘビのイタズラの
撤去からだな","","First, Ami planted the snake prank on my desk.
From the removal.","","First, we need to get rid of the snake
prank Ami planted in my desk."
"ええー！　兄ちゃん、気付いてたのー！？
兄ちゃん……もしかして……超能力者！？","","Oh, my brother, you noticed!
Brother ...... maybe ...... psychic!","","Whaaat?! You noticed?!
Onii-chan......are you......a psychic!?"
"亜美も負けないよ！　亜美の能力は、兄ちゃんに
イタズラを仕掛けてもバレナイ能力だかんね！","","Ami won't lose to you either! Ami's abilities are just as good as her brother's.
It's the ability to play tricks and not get caught!","","Ami won't lose either! Ami's power is such that even if
you try to pull a prank on my brother, no one will know!"
"そんな能力でいいのか……？","","Are you sure you want that kind of capability ......?","","Is that really a good enough ability...?"
"まあ落ち着け。亜美に頼みたい仕事がいくつも
来ているから、ひとつずつこなしていこうな","","Relax, I've got a number of jobs I need Ami to do for me.
They're coming, so let's do one thing at a time.","","Calm down. There's a lot of work I want you to
take care of, so let's do it one at a time."
"んっふっふ～♪　やっぱり、亜美の予想通り、
兄ちゃんとタッグを組んだら、最強だね☆","","Hmmm~♪ I knew it, just as Ami predicted,
If you and your brother tag teamed up, you'd be the best.","","Hehehe~♪ Just as Ami predicted, I'll be the strongest
when I tag team up with you, onii-chan☆"
"ウルトラスーパーアイドル道を、
爆走で転がっていくおにぎりころりんって感じ！","","The Ultra Super Idol Way,
It's like an onigiri kororin that rolls along with the explosion!","","It's like a rice ball rolling
down the Ultra Super Idol Road!"
"転がっていくのはまずくないか？","","Isn't it bad to roll over?","","Isn't it bad to roll around?"
"でもでも、一度転がり始めた亜美は
もう、誰にも止められないのだ！","","But once Ami started rolling...
No one can stop them now!","","But, but, once Ami starts rolling,
no one can stop her!"
"果たして、亜美はどこに向かって、
どこまで転がって行ってしまうのでしょうか～？","","Where is Ami headed?
How far will it roll away~?","","In the end, I wonder where
Ami will roll off to  ?"
"分かった分かった。
冗談はそのくらいにして仕事の話を……","","All right, all right.
That's enough joking, let's talk about work: ......","","I get it, I get it.
Enough joking around. Let's talk business..."
"だけど、兄ちゃんが一緒だったら
亜美はどんなに転がっても、だいじょうぶだよね！","","But if my brother was with me.
Ami is a big girl, no matter how much she rolls!","","But as long as you're with me, Ami will be
fine no matter how many times she rolls!"
"えっ？","","What?","","Eh?"
"だって、兄ちゃんが隣で見ててくれたら、
亜美、転がりながらでも走れるもん！","","Because if my brother is watching next to me,
Ami, I can run even while rolling!","","But if you're with me, Ami,
I'll be able to run while rolling!"
"それに、亜美がどこかに転がって行っちゃっても、
兄ちゃんはちゃんと、追いかけてきてくれるでしょ？","","Besides, even if Ami rolled over somewhere,
My brother will follow you, right?","","Besides, even if Ami rolls off somewhere,
you'll still come after me, won't you?"
"あ……ああ！　そうだな！！
絶対そうするよ……","","Ah ...... ah! Yes, that's right!
I definitely will. ......","","Y-Yeah! You're right!!
I'll definitely do that..."
"ん？　どったの、兄ちゃん？","","Hmm? Where are you, brother?","","Hm? What's wrong, bro?"
"急に変な顔して……あ～！　もしかして……
冷蔵庫にしかけたイタズラがバレた！？","","Suddenly you look weird and ...... ah~! Could it be ......
The prank I played on the refrigerator has been exposed!","","You're making a weird face all of a sudden... Ahhh! Don't tell me...
Did she find out about the teasing I did in the fridge!?"
"え、冷蔵庫？　それは……知らないけど、
撤去しておいてくれよな？","","What, a refrigerator? I don't know that one ......,
You'll have to take it down, won't you?","","Huh? The fridge? I don't know about
that, but could you get rid of it?"
"うあうあ～！　亜美、自分でハクジョー
しちゃったよ～！　カイシンの出来だったのに～っ！","","Uuuuuhhh~! Ami, hakjoh yourself.
I did it!","","Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"
"（一瞬、亜美が見せた大人の輝き。
それはただの気のせいではない……と思う）","","(For a moment, Ami showed a mature glow.
(I think it's not just my imagination ......)","","(For a moment, Ami showed me the glimmer of an adult.
(I don't think it's just my imagination.)"
"兄ちゃん、兄ちゃん、聞いて聞いてー！
ダイダイダイダイダイ大事件だよー！","","Brother, brother, listen to me, listen to me..!
It's a die-die-die-die big deal!","","Hey, hey, hey, hey, hey!
It's a big deal!"
"ど、どうした亜美！
なにがあったんだ！？","","What's wrong, Ami?
What's going on!","","Wh-What's wrong, Ami?!
What's going on!?"
"亜美……亜美……世界一のツナマヨになって、
とうとうサトリを開いちゃったんだよね","","Ami......Ami...... be the best tuna mayo in the world,
You finally opened Satori.","","Ami... Ami... You've become the best tuna mayo
in the world, and you've finally opened the net."
"え、もう世界一のツナマヨになったのか！？
ってなんだ、この質問は……","","What, you're already the world's best tuna mayo!
What does that mean? This question is from ......","","Huh? You've already become the best tuna mayo in the world!?
Wait, what's with this question?"
"そこでなんと、兄ちゃんにビッグチャンス到来～！
大人な亜美に今なら無料で相談できちゃいまーす☆","","So, what a big chance for my brother~!
You can consult with the mature Ami for free now!","","And then, a big chance came for big bro-!
I can talk to an adult like Ami for free right now☆"
"テテーン♪　ここは『亜美の部屋』","","Tee-ten... this is ""Ami's room"".","","Ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta  Ami's room"
"アダルティーでツナマヨなアイドル亜美が、
貴方の悩み事をズババッと解決してみせます！","","Adulterer and tuna mayo idol Ami is,
We will solve your problems in no time!","","Ami, the mature and lusty idol, will
solve your problems in no time flat!"
