"改めまして……コホン。
はじめまして！　プロデューサーさん！","","Once again, ...... Kohon.
Nice to meet you, producer!","","Allow me to introduce myself... Ahem.
Nice to meet you, Mr. Producer!",""
"聞き覚えのある声がすると思ったら、
やっぱり君たちだったか","","I thought I heard a familiar voice,
I knew it was you guys.","","I thought that voice sounded familiar,
but it must have been you guys.",""
"あれっ、社長！？　社長もいらしてたんですか！？","","Oh, the president! The president was there, too?","","Huh? President! You're here too, president!!",""
"近くを通りかかったものでね。
それより安部君。テーマパークの件、おめでとう","","I was just passing by.
Anyway, Abe, congrats on the theme park.","","I was just passing by.
More importantly, Abe-kun. Congratulations on the theme park incident!",""
"は、はい！
こちらこそ、ありがとうございますっ！","","
Thank you very much!","","Y-Yes!
Thank you, too!",""
"うむ。
期間限定とのことだが、頑張ってくれよ！","","
I know it's only for a limited time, but good luck with that!","","Hmm.
It's a limited time offer, but good luck!",""
"はい、ありがとうございます！
……って、えっ？","","
What is ......, eh?","","Yes, thank you very much!
...Wait, what?",""
"あの、プロデューサーさん……。
今、期間限定って言ってませんでしたか？","","Um, producer .......
Didn't you just say limited time?","","Um, Mr. Producer...
Didn't you just say it was a limited-time offer?",""
"あ、あぁ確かに、言っていたな……","","Oh, oh sure, you said it: ......","","Y-Yeah, she did say that...",""
"ぷ、プロデューサーさん！
最初から知ってたんですか！？","","Psst, Mr. Producer!
You knew all along!","","P-Producer!
You knew all along?!",""
"い、いや、知らなかった！
俺も今社長に言われるまで知らなかったんだって！","","No, no, I didn't know!
I didn't know about it either until the president just told me!","","N-No, I didn't know!
I didn't know until the president told me!",""
"むぅ……高木社長の勘違いでしょうか？
それならいいんですけど……","","Mu...... President Takagi must be mistaken?
I hope so. ......","","Hmm... Is President Takagi mistaken?
That's good to hear, but...",""
"でも、あの封筒を受け取った時、
嬉しすぎて、ちゃんと書類を見ていなかったかも","","But when I received that envelope,
Maybe I was too happy to look at the paperwork properly.","","But when I received that envelope, it made
me too happy to look at the documents.",""
"プロデューサーさんは、
しっかり最後まで読みましたか？","","
Did you read it all the way through?","","Did you read the whole
thing, Producer-san?",""
"そう言われてみると俺もなにか見落としてるかも。
確か企画書はカバンの中に……","","Now that you put it that way, maybe I'm missing something too.
As I recall, the proposal is in my bag: ......","","Now that she mentions it, I might have missed something.
If I remember correctly, the proposal is in my bag...",""
"あったあった、ウサミンワールドの企画書だ。
どれどれ、概要は……","","There it is, the proposal for Usamin World.
Let's see, an overview is available at ......","","There it is, the proposal from Usamin World.
Let's see, the outline is...",""
"ぷ、プロデューサーさんっ！
期間限定って書いてあるじゃないですか！","","Psst, Mr. Producer!
It says ""limited time only"", doesn't it?","","P-Producer!
It says it's limited time only!",""
"ほ、本当だ……。
すまない、菜々。すっかり見落としていた……","","Ho, really. .......
Sorry, Nana, I totally missed this: ......","","I-It's true...
Sorry, Nana. I completely missed it...",""
"う～……ナナ、ウサミンのためのテーマパークが
建設されるんだとばかり思ってましたよ～！","","U~...... nana, a theme park for Usamin...
I just thought it was going to be built!","","Ugh... I thought we were going to
build a theme park for you, Nana!",""
"既存のテーマパークの、
期間限定のイベントってことだったんですね……","","of existing theme parks,
You meant a limited time event. ......","","So it's a limited-time event
at an existing theme park...",""
"これは俺の確認ミスだ。
本当に、何と言っていいか……","","This is my mistake in checking.
Really, what can I say ......","","This was a mistake on my part.
I really don't know what to say...",""
"プロデューサーさん、期間限定だと、
今まで考えてたことを実現するのは無理でしょうか？","","Producer, you said it's for a limited time only,
Is it impossible to achieve what I've been thinking about?","","If it's a limited-time offer, can you really
make what we were thinking come true?",""
"いや、無理ってことはないと思うぞ。
いくらでも工夫できるはずだ。たとえば……","","No, I don't think it's impossible.
You can be as creative as you want, e.g. ......","","No, I don't think it would be impossible.
I should be able to come up with a lot. For example...",""
"世界観","","world view","","Worldview",""
"ウサミン星人を
移住させる","","I'm going to get the Usamin aliens.
move someone to a new location","","We're going to move
the Usamin aliens.",""
"チラシを作る","","Make a flyer","","Make a flyer",""
"ウサミン星の世界観を再現するなら、
既存のアトラクションを再利用してもいいだろうし","","If you want to recreate the world of the planet Usamin,
It would be nice to reuse existing attractions.","","If we're going to recreate the worldview of Usamin, then
it should be fine if I reuse an existing attraction as well",""
"なるほど、新しく建てなくても、
ウサミン流にアレンジすればいいんですねっ！","","I see, even if you don't build a new one,
I just have to arrange it in Usamin's way!","","I see, so even if we don't build it up new...we just
have to make an arrangement like the Usamin style!",""
"期間限定でも、ウサミンワールドは
実現するんですもんね！　やっぱり嬉しいですっ！","","Even for a limited time, Usamin World is
I'm still very happy!","","Even if it's only for a limited time, we can still make
this world come true! I really am happy about that.",""
"ウサミン星人を移住させよう！　ウサミンワールドの
いたるところにウサミン星人を住ませるんだ","","Let's emigrate Usamin aliens to Usamin World!
We're going to have Usamin aliens living everywhere.","","Let's get the aliens from Usamin to settle
down and let them live all over usamane world.",""
"なるほど！　では、キャストのみなさんに、
ウサミン星人になってもらいましょう！","","I see! Now, to the cast members,
Let them become Usamin aliens!","","I see! Then let's have all the
cast members become usamin aliens.",""
"期間限定ですけど、ウサミン星人の別荘ってことで、
ウサミンワールドに住んでもらいますっ！","","It's only for a limited time, but it's called the villa of the Usamin aliens,
I'll have you live in Usamin World!","","It's a limited-time offer, but we will have
you live in Usamin World as your villa!",""
"チラシを作って、
街中で配って宣伝しよう！","","Make flyers,
Let's hand them out around town and advertise!","","Let's make flyers, hand them
out around town and advertise!",""
"チラシ配り……。確かに、期間限定であることを
知ってもらわないといけませんよね！","","Hand out flyers at ....... Sure, it's only for a limited time.
We need to let people know about it!","","Handing out flyers... It's true that we need to
make them known for a limited period of time!",""
"だって、ウサミンワールドもいつものテーマパークも
どっちも楽しめちゃって、お得です♪","","Because both Usamin World and the usual theme parks
You can enjoy both and it's a great deal!","","I mean, we get to enjoy both this world
and the theme park. It's a great deal! ♪",""
"まあ、いろんな楽しい案が浮かんでよかったよ。
菜々の前向きさを見習って、俺も頑張るよ！","","Well, I'm glad you came up with all kinds of fun ideas.
I'll try my best to emulate Nana's positive attitude!","","Well, I'm glad we came up with all kinds of fun ideas.
I'll do my best to follow her example!",""
"そうですよ～！　短い期間でも、
ナナはめいっぱい楽しんじゃいますからねっ！","","Yes~! Even for a short period of time,
I'm going to have a lot of fun with Nana!","","That's right! Even if it was only for a short time,
I would still enjoy myself to the fullest.",""
"ウサミンワールド開園まで、あともう少し！
一緒に頑張りましょうね、プロデューサーさんっ！","","We are very close to the opening of Usamin World!
Let's work together, producers!","","Just a little longer until Usamin World opens!
Let's do our best together, Mr. Producer!",""
"（悲願のウサミンワールド完成に向け、
プロジェクトは着々と動き出している……）","","(Toward the completion of the long-desired Usamin World,
(The project is steadily moving forward: ......)","","(The project is steadily moving towards the
completion of our long-awaited Usamin World...)",""
"菜々、ウサミンワールドの前売り券、
好調な売れ行きだぞ！","","Nana, advance tickets to Usamin World,
They're selling like hotcakes!","","Nana, we're selling great
tickets to Usamin World!",""
"わぁ、本当ですか？　嬉しいです～！
絶対楽しんでもらえるものにしなくちゃですね！","","Wow, really? I'm so happy!
It should definitely be something that people will enjoy!","","Wow, really? I'm so happy!
We have to make it something they'll definitely enjoy!",""
"ああ。まだ開園まで準備期間があるからな","","Yeah, there's still time to prepare before the park opens.","","Yeah, 'cause we've still got some time before the park opens up to begin with.",""
"なにか作りたいアトラクションとか施設があれば、
相談することもできるけど、どうする？","","Any attractions or facilities you would like to create,
We could discuss it with you, but what would you do?","","If there's an attraction or facility you want to
build, we can talk about it. What do ya say?",""
"う～ん、そうですねぇ。
やっぱり最初の頃に考えてたのは実現したいです！","","Hmmm, yes.
I still want to realize what I had in mind at the beginning!","","Hmm, let's see...
I want to make what we were thinking about at the beginning a reality!",""
"ニンジンの馬車がついた、ウサミンゴーランド！
ウサミンコースターはもう計画されてるんですよね？","","Usamingoland with carrot carriage!
You already have a plan for the Usamin Coaster, don't you?","","There's a carrot cart on it, Usamingo Land!
The usamin coaster is already planned, right?",""
"既存のアトラクションにカバーを付けて、
期間中はウサミン仕様になるそうだ","","Cover existing attractions,
They will be Usamin-specific during the period.","","They'll put a cover on the existing attractions,
and it will be usamin-style during that period.",""
"うわぁ、すごいですね！　本当に
遊園地が丸ごとウサミン星になっちゃうんですね☆","","Wow, that's amazing! Really!
So the whole amusement park is going to be turned into the Usaminster☆.","","Wow, that's amazing! The amusement park
really is turning into a giant star. ☆",""
"あっ、せっかくだから、来てくれた人に
ウサミン星のご飯も食べてほしいです！","","Oh, and since you're here.
I would also like you to eat rice from the planet Usamin!","","Oh, and since we're here anyways... I want
everyone who comes to eat dinner on Planet Usamin!",""
"ウサミン星のメニューか、どんな感じにするんだ？","","A menu for the planet Usamin, or what would it look like?","","What's on the Usamin menu, huh?",""
"にんじんケーキ、にんじんクッキー、
にんじんスムージーなんてどうでしょう？","","Carrot cake, carrot cookies,
How about a carrot smoothie?","","Carrot cake, carrot
cookies... How about a smoothie?",""
"……にんじん尽くしだな","","...... is all about the carrots.","","...You're all carrots.",""
"パッケージもデザインしたいですっ！
メルヘンでかわいいウサミン仕様に……！","","I would love to design a package!
The fairy tale and cute Usamin specs are available at ......!","","I want to design the package, too!
It's a fairy tale with cute bunny ears!",""
"それからそれから……えーっと……","","And then there's ...... uh ......","","And, and... Ummm.",""
"うわぁ～、やりたいことがいっぱいで、
ナナ、頭の中がオーバーヒートしちゃいそうです！","","Wow, there is so much to do,
Nana, my head is about to overheat!","","Wow, there's so much I want to
do. My head is going overheat!",""
"これ以上、ウサミンワールドの
アイディアは考えないほうがいいでしょうか……？","","No more Usamin World's
Should I not consider the idea ......?","","Maybe we shouldn't think about the
idea of Usamin World anymore...?",""
"アイディアはあればあるほどいいが……。
そうだな……","","The more ideas you have, the better. ......","","The more ideas I have, the better...
Yeah, you're right",""
"全部やるぞ！","","We'll do it all!","","Let's do it all!",""
"まだあるのか？","","Is it still there?","","There's more?",""
"このくらいに
しておこう","","in this amount
I'll do it.","","Let's leave
it at that.",""
"菜々がやりたいことを全部やろう。
ここまで、一生懸命やってきたんだからな","","Let's do everything Nana wants to do.
We've worked so hard to get to this point.","","Let's do everything that Nana wants to.
I've been working so hard to get this far.",""
"キャハッ☆　ありがとうございますっ！
実は、まだやりたいことがい～っぱいあるんですっ♪","","Cahah* Thank you very much!
Actually, there are still many things I want to do.","","Kyaha☆ Thank you so much!
Actually, there's still a lot of things I want to do~♪",""
"ウサミンワールドのグッズのイメージとか、
あと、ウサミンワールドのテーマソングとか！","","Like the image of Usamin World's merchandise,
Also, like the Usamin World theme song!","","It's all about the merch from
Usamin World, and also its theme song!",""
"そうだな。菜々が思いつくことは全部やってみよう！
ウサミンワールドが、もっと賑やかになりそうだな","","Yes, let's try everything Nana can think of!
Usamin World is about to get a lot more crowded.","","Right. Let's do everything Nana can think of!
Looks like the world of Usamin'll be even livelier.",""
"まだあるのか？　どんどんアイディアが出てくるな","","You still have more? You keep coming up with more ideas.","","You still got more ideas? More of them coming out.",""
"あ、当たり前じゃないですか～！ この日が
来ることを、ずっと楽しみにしてたんですから！","","Oh, isn't it obvious! This is the day!
I've been looking forward to coming for a long time!","","O-Of course! I've been looking
forward to this day for a long time now.",""
"全部実現できるかは分からないけど、
アイディアはちゃんと先方に伝えておくからな！","","I don't know if we can make it all happen,
I'll make sure to let them know about the idea!","","I don't know if it will all come
true, but we can tell them our ideas!",""
"このくらいにしておこうか。
アイディアがまとまらないと、先方も困るだろう","","Let's leave it at this.
If the idea doesn't come together, the destination will be in trouble.","","Let's leave it at that.
If they don't come up with an idea, it will be a problem for them as well.",""
"そうですね。ウサミンワールドは、ナナひとりだけの
テーマパークじゃないですからね……","","Yes, Usamin World is a place where Nana is the only one.
It's not a theme park. ......","","That's true. After all, Usamin World
is not a theme park just for Nana alone...",""
"いろんなスタッフに協力してもらって、
準備にも取り掛からないといけないからな","","With the help of various staff members,
I'll have to get started on the preparations.","","We'll need to get a lot of help from
the staff and start getting ready.",""
"ナナ、アトラクション建設から
歩道のコンクリート作りまでお手伝いしますよ！","","Nana, from Attraction Construction
We'll even help you make the concrete for the sidewalks!","","Nana, I'll help you out with the construction
of everything from attractions to concrete!",""
"……菜々はそういうことはしなくて大丈夫だからな","","...... Nana doesn't have to do that.","","...You don't have to do that, Nana.",""
"ルミナスや菜々自身の活動に励んで、
ウサミンワールドに来てくれるファンを増やそう","","Work hard on Luminous and Nana's own activities,
Let's increase the number of fans who come to Usamin World.","","Let's do our best with Luminous and Nana to increase
the number of fans who will visit Usamin World.",""
"あの……プロデューサーさんっ！","","Hey, that ...... producer!","","Um... Mr. Producer!",""
"ん、どうした。菜々？","","What's wrong, Nana?","","Hm? What's up, Nana.",""
"改めて言わせてください。
プロデューサーさんのおかげでここまで来られました","","Let me say it again.
Thanks to Producer, we have come this far.","","Let me say it again.
It's thanks to you that we made it this far.",""
"今まで夢みたいに思っていたことが実現して……
こんな素敵な世界にいられるなんて……","","What I had dreamed of before is now a reality. ......
It's such a wonderful world to be in. ......","","What I thought was a dream came true...
To think I'd be able to live in such a wonderful world...",""
"プロデューサーさんがナナを支えてくれたからです！
ナナの夢を叶えてくれて、ありがとうございますっ！","","It is because Producer supported Nana!
Thank you for making Nana's dream come true!","","Because Producer supported me!
Thank you for making Nana's dream come true!",""
"……そうか。
菜々の力になれたのなら、俺も嬉しいよ","","...... I see.
I'm glad I could help Nana, too.","","...I see.
I'm glad I was able to help you, Nana. That makes me happy as well",""
"でも、菜々にはまだまだやりたいことや
夢がたくさんあるだろ？","","But Nana still has many things she wants to do and
You have a lot of dreams, don't you?","","But there's still a lot of things
you want to do and dreams, right?",""
"キャハッ☆　バレちゃいましたか～！","","Cahhhh* They found out, didn't they?","","Kyaaah! ☆ You've been found out?",""
"ナナは永遠の１７歳☆　やりたいこと、
挑戦したいこともまだまだいっぱいですよっ！","","Nana is eternally 17 years old☆ What I want to do,
There are still many things I want to challenge myself with!","","Nana is eternally 17☆ There's still
so much I want to do and challenge!",""
"プロデューサーさん！　これからのナナの活躍を、
楽しみにしていてくださいね！","","Producer! Good luck to Nana in her future endeavors,
Please look forward to it!","","Hey, producer! I hope you're looking forward
to seeing what Nana can do from here on out.",""
"ああ、そうさせてもらうよ。
ナナならきっと、どんなことでもできるはずだ","","Yeah, I'll let you do that.
I'm sure Nana can do whatever it takes.","","Yeah, we'll do just that.
I'm sure Nana can do anything.",""
"キャハッ☆　ウーサミン☆
いっぱい、い～っぱい夢を叶えていきましょう♪","","C'mon, Usamin!
Let's make our dreams come true!","","Kyahaa☆ Usamin  Let's make
lots and looot dreams come true♪",""
"（プロジェクトルミナスも無事に終え、
俺と菜々はお互いの活動に専念し――）","","(Project Luminous was also successfully completed,
(Me and Nana will focus on each other's activities...)","","(With Project Luminous safely completed,
Nana and I focus on our activities―)",""
"（しばらくして、待ちに待った、
ウサミンワールド開園の日を迎えた……）","","(A short while later, the wait was over,
(......) on the opening day of Usamin World.","","(After a while, the long-awaited opening
day of Usamin World arrived...)",""
"『ご覧ください！　間もなく開園を迎える
ウサミンワールドには、ものすごい行列が――』","","Please take a look!
There was a huge line at Usamin World.","","'Look at this! The opening of the park will soon be upon us,
and there's a huge line waiting for you in Usamin World―」",""
"見てください、プロデューサーさんっ！
すっごい行列ができちゃってますよ！","","Look at this, producers!
There is a huge line of people waiting in line!","","Look, Mr. Producer!
There's a huge line!",""
"ああ、あれだけ菜々が頑張ったんだからな。
ファンの期待度も、相当高まっているはずだ","","Yeah, Nana worked so hard on that one.
Fans' expectations must be rising considerably.","","Yeah, after all the work Nana put in.
I'm sure the fans are looking forward to it.",""
"はぁ～♪　ついにウサミンワールドの開園……！
ここまでの道のりは長いようで短かったですね～♪","","Hah~♪ Finally, Usamin World opens ......!
It's been a long and short road to get here!","","Haaah♪ Finally, the opening of Usamin World...!
We've come a long way, but it was short~",""
"あまり、浮かれている場合でもないからな。
夜のパレードにはライブがあるんだぞ","","Not too much, because it's not a good time to get carried away.
There's live music at the parade at night.","","This isn't the time to be getting excited.
There's a concert at the night parade.",""
"はい、わかっています！　夕方前には現地入りして、
最終確認……ですよね！","","Yes, I know! Get there before the evening,
Last check: ......, right?","","Yes, I know! We'll be there before evening
to do the final checks...right?",""
"ああ、頼む。菜々には息つく暇もないが……。
今日がウサミンワールドの始まりだからな","","Oh, please, Nana doesn't have time to breathe but .......
Because today is the beginning of Usamin World.","","Yeah, please do. Nana doesn't have time to breathe...
Today is the beginning of usamin world.",""
"そうですね……今まで頑張ってきたのは、
今日、この日のため……だったんですもんね","","Yes, ...... I've been working hard so far,
It was ...... for this day, wasn't it?","","That's right... The reason we worked so
hard up until now was for this day.",""
"ああ、菜々の努力と行動力の賜物だ","","Ah, the fruits of Nana's hard work and energy.","","Yeah, it's all thanks to Nana.",""
"そうだ、何か菜々にご褒美をしないとな。
ここまで、まともに休めた日も少ないだろうから","","Yes, we need to reward Nana with something.
So far, you've had very few days of proper rest.","","Oh yeah, I need to reward Nana somehow.
I don't think there will be many days when we can rest this well.",""
"ご、ご褒美ですか！？　えっと、そうですねぇ……。
急に言われると、なかなか出てこないものですね","","Oh, is that a reward! Um, yes, it is. .......
It's hard to come up with something when it's said so suddenly.","","A-A reward!? Um, let's see...
It's hard to come up when you say it so suddenly.",""
"そんなに悩まなくても、
菜々のやりたいことを言ってもらえばいいんだぞ","","You don't have to worry so much,
Just get Nana to say what she wants to do.","","You don't have to worry so much.
Just say what you want, Nana!",""
"そ、それじゃあ。１日中マッサージ……。
いや、エステで体のメンテナンスも……","","Well, then. all day massage .......
No, we also maintain our bodies with esthetics: ......","","A-All right, then. I'll give you a full day massage...
No, I need to do some body maintenance at the beauty salon...",""
"わがままを聞いてもらえるのでしたら、
高級エステ……。いや海外エステ旅行……！","","If you can be selfish,
High-end esthetics ....... No, overseas esthetics travel ......!","","If you're going to be so selfish, why not go on a
high-class beauty salon... No! An overseas trip?",""
"はぅ～。
そ、想像しただけでも癒されてきましたぁ～♪","","Huh.
I'm getting healed just imagining it...","","Hauu.
Just imagining it soothes me~",""
"お疲れ様です、プロデューサーさん。
こちらの封筒が届きましたので……はい、どうぞ","","Thanks for your help, producer.
I received this envelope from ...... Yes, please.","","Good work, producer.
This envelope arrived, so... Here you go.",""
"あ、すみません。
ありがとうございます……","","Oh, sorry.
Thank you ......","","Ah, excuse me.
Thank you very much...",""
"……見覚えのある封筒だな。
『プロデューサー様・ウサミン様』だって？","","...... That envelope looks familiar.
Producer, Usamin-sama""?","","...I've seen this envelope before.
'Producer-sama, Usamin.'What do you mean?",""
"ピピッ！　ウサミンを呼ぶ声が聞こえました！","","Beep! I heard a voice calling Usamin!","","Beep, beip! I heard a voice calling for usamin.",""
"……いや。菜々を呼んだ訳じゃない。
ていうか、このやりとり以前にやったような……","","...... No. I didn't call Nana.
I mean, like I did before this exchange: ......","","...No, I didn't call Nana here.
Actually, I feel like we've done this before...",""
"プロデューサーさん！　その封筒……！
ウサミンワールドの会社のロゴが入っていますよ！","","Producer! That envelope is ......!
It has the Usamin World company logo on it!","","Hey, producer! That envelope...
It has the logo of Usamin World!",""
"ああ、そうだな……。
とりあえず中を見てみるか……","","Oh, yeah. .......
Let's just take a look inside: ......","","Yeah, you're right...
Guess I'll take a look inside...",""
"ナナにも！　いえ、ナナに読ませてください！","","Nana too! No, let Nana read it!","","Nana too! No, please let me read it for you.",""
"『ウサミンワールド建設には、おふたりの多大な
お力添えを頂き、誠にありがとうございました』","","The construction of Usamin World was made possible by the generous support of the two couples.
Thank you very much for your assistance.","","『Thank you very much for your
enormous help in constructing Usamin World.』",""
"『プロデューサー様とウサミン様の影響力は
弊社で大きな評判を呼び――』","","'The influence of Producer and Usamin-sama is
It has gained a great reputation in our company.","","'Producer and Usamin-sama have gained
a great reputation at our company...'",""
"『新たに、ウサミンスペースワールド（仮）の
企画が弊社で検討されています――』","","The new Usamin Space World (tentative)
The project is under consideration by our company--""","","『Our company is considering a new project
for Usamin Space World (Temp)―』",""
"ウ、ウサミン……スペースワールド！","","U, Usamin ...... Space World!","","U-Usamine... Space World!",""
"な、なんて壮大でメルヘンチックな響き……！
やりましょう！　ねっ、プロデューサーさんっ！","","What a grand and fairy-tale sounding ......!
Let's do it!","","Wh-What a grandiose, fairytale sound...!
Let's do it! Right, Mr. Producer?",""
"あ、ああ。菜々が了承してくれるなら……。
でも、マッサージとか海外エステとか――","","Uh, yeah, if Nana agrees, you can go to .......
But massages, foreign esthetics--","","Y-Yeah. If you're okay with it...
But, massages and overseas beauty treatments...",""
"そんなこと言っている場合ではありませんっ！
ウサミンスペースワールドについて打ち合わせを！","","This is not the time to say that!
Meeting about Usamin Space World!","","This isn't the time for that!
Let's have a meeting about usamin space world!",""
"大丈夫か、菜々？　ルミナスの活動が終わっても、
そんなに菜々に時間があるとは――","","Are you okay, Nana? Even after the Luminous activity is over,
I didn't know Nana had that much time--","","Are you all right, Nana? Even
after Luminous's activities are over...",""
"問題ありませんっ！　ウサミン星のためなら、
ナナ、力尽きるまで奮闘する覚悟はできていますっ！","","No problem! For the planet Usamin,
Nana, I am ready to struggle until I run out of strength!","","No problem! If it's for the sake of Planet Usamin,
I am prepared to fight until my strength runs out.",""
"それに、またプロデューサーさんと
楽しい毎日が過ごせるなんて、ナナは幸せ者ですっ♪","","Besides, I'll be working with Producer again.
Nana is so lucky to be able to spend her days having fun.","","Besides, I'm so lucky to have fun
everyday with Producer again! ♪",""
"プロデューサーさんっ！　楽しいことをいっぱい見つ
けていきましょうね！　ウーサミン☆　キャハッ☆","","Producers! Find lots of fun things to do!
Let's keep it that way!","","Let's find lots of fun things to
do, Mr. Producer! Usamin☆ Kyaaah ♡",""
